generation,leftchild,rightchild,abstime,betainit,betashift
7000,Microgale_principula,Microgale_longicaudata,224.262,20224.3,0.00950859
7000,Talpa_levantis,Mogera_insularis,226.823,1903.1,-0.00680714
7000,Hylomys_megalotis,Erinaceus_roumanicus,209.701,51892.1,-0.0097443
7000,Solisorex_pearsoni,NA,235.869,52050.6,0.000810049
7000,Sylvisorex_johnstoni,Sylvisorex_lunaris,234.127,4122.21,-0.0171711
7000,Crocidura_levicula,Crocidura_zarudnyi,236.695,8768.18,-0.0547863
7000,Suncus_malayanus,Crocidura_russula,233.803,15486.2,0.0106088
7000,Neomys_fodiens,Neomys_teres,239.099,148314,-0.0265092
7000,Rhinopoma_muscatellum,Rhinopoma_microphyllum,235.133,44236.4,0.0149906
7000,Eonycteris_spelaea,Scotonycteris_occidentalis,230.234,39105.1,-0.00655233
7000,Mimon_bennettii,NA,238.876,85181.6,-0.0115212
7000,Phyllonycteris_poeyi,Erophylla_sezekorni,242.007,81612.9,0.00858289
7000,Eptesicus_fuscus,Eptesicus_isabellinus,240.407,46186.7,-0.00565175
7000,Vicugna_vicugna,Camelus_ferus,228.628,597567,0.334974
7000,Okapia_johnstoni,Muntiacus_reevesi,230.152,461197,0.774495
7000,Galagoides_thomasi,Sciurocheirus_gabonensis,235.481,257751,0.00451792
7000,Cheirogaleus_sibreei,Lepilemur_mustelinus,228.416,18987.2,-0.00998936
7000,Tarsius_dentatus,Tarsius_wallacei,213.781,116496,-0.00411714
7000,Aotus_nancymaae,NA,246.589,138955,0.00343609
7000,Leontopithecus_rosalia,Leontopithecus_chrysomelas,241.15,66680.7,0.00932727
7000,Cercocebus_chrysogaster,Cercocebus_agilis,246.524,125634,0.00435804
7000,Protoxerus_stangeri,Heliosciurus_undulatus,230.991,28104.6,-0.00837937
7000,Sundasciurus_philippinensis,Sundasciurus_samarensis,246.29,204229,0.00503798
7000,Petaurista_alborufus,NA,246.482,75653.4,0.0144532
7000,Dryomys_nitedula,NA,241.958,19331.5,0.00205069
7000,Laonastes_aenigmamus,Massoutiera_mzabi,213.18,24031.3,0.00286495
7000,Phyllomys_mantiqueirensis,Phyllomys_pattoni,242.139,29614.1,0.00318094
7000,Dactylomys_dactylinus,Dactylomys_boliviensis,240.055,6119.26,0.000355116
7000,Proechimys_quadruplicatus,Proechimys_brevicauda,241.972,24845.1,0.010931
7000,Proechimys_quadruplicatus,Proechimys_hoplomyoides,237.941,322032,-0.00902139
7000,Tympanoctomys_loschalchalerosorum,Octodontomys_gliroides,239.738,33389.5,0.00381887
7000,Abrocoma_boliviensis,NA,246.778,143393,-0.00971636
7000,Anomalurus_beecrofti,Pedetes_capensis,208.359,39723.2,-0.000240625
7000,Jaculus_blanfordi,Jaculus_jaculus,243.635,81373.9,-0.0135523
7000,Osgoodomys_banderanus,Peromyscus_hooperi,238.773,10961.6,0.000878108
7000,Neotoma_mexicana,Xenomys_nelsoni,236.033,11151.1,0.00991744
7000,Brachytarsomys_albicauda,Eliurus_ellermani,231.804,25640.2,0.00370248
7000,Irenomys_tarsalis,NA,244.239,215507,0.0019254
7000,Sigmodon_leucotis,Delomys_collinus,224.298,179642,-0.345902
7000,Soricomys_musseri,Chiruromys_vates,233.769,16299.1,0.0052957
7000,Millardia_meltada,Otomys_denti,230.802,17666.6,0.011052
7000,Melasmothrix_naso,Sundamys_muelleri,237.456,34801.3,-0.00651933
7000,Gerbillus_gerbillus,Gerbillus_cheesmani,243.307,36625.2,-0.00587189
7000,Calomyscus_hotsoni,Calomyscus_bailwardi,213.141,806.461,-0.010949
7000,Chaetodipus_nelsoni,Chaetodipus_rudinoris,231.762,83037.5,0.0173181
7000,Perognathus_merriami,Perognathus_flavus,242.455,41428.5,0.0120826
7000,Elephantulus_intufi,Solenodon_paradoxus,156.696,322434,0.644663
7000,Rhyncholestes_raphanurus,Elephantulus_intufi,7.08368,238132,0.244036
7000,Ornithorhynchus_anatinus,NA,56.8088,58077.3,0.00499728
7000,Ornithorhynchus_anatinus,NA,226.833,96925.3,0.157118
8000,Rhyncholestes_raphanurus,Ornithorhynchus_anatinus,0,1.54111,0.11594
8000,Rhyncholestes_raphanurus,Caenolestes_convelatus,188.521,30442.2,-0.0243803
8000,Glironia_venusta,Caluromysiops_irrupta,195.948,2927.57,0.00352841
8000,Macrotis_lagotis,NA,230.589,11865.1,0.0011554
8000,Tarsipes_rostratus,NA,216.627,209770,0.00807618
8000,Rhynchocyon_udzungwensis,Rhynchocyon_petersi,207.769,48185.3,0.00693079
8000,Rhynchocyon_udzungwensis,Rhynchocyon_petersi,209.624,111543,-0.0182533
8000,Oryzorictes_hova,NA,229.747,26484.2,0.0216783
8000,Microgale_principula,Microgale_longicaudata,224.262,20224.3,0.00950859
8000,Scaptonyx_fusicaudus,Urotrichus_talpoides,227.208,13144.4,0.00365861
8000,Talpa_levantis,Mogera_insularis,226.823,1305,-0.00680714
8000,Hylomys_megalotis,Erinaceus_roumanicus,209.701,51892.1,-0.0097443
8000,Solisorex_pearsoni,NA,235.869,74069.7,0.000810049
8000,Sylvisorex_johnstoni,Sylvisorex_lunaris,234.127,7488,-0.0171711
8000,Crocidura_levicula,Crocidura_zarudnyi,236.695,8442.42,-0.0547863
8000,Sylvisorex_johnstoni,Suncus_malayanus,229.34,15486.2,0.0106088
8000,Neomys_fodiens,Neomys_teres,239.099,148314,-0.0265092
8000,Rhinopoma_muscatellum,Rhinopoma_microphyllum,235.133,44236.4,0.0149906
8000,Cynopterus_sphinx,Styloctenium_wallacei,225.262,39105.1,-0.00655233
8000,Mimon_bennettii,NA,238.876,85181.6,-0.0115212
8000,Phyllonycteris_poeyi,Erophylla_sezekorni,242.007,81612.9,0.00858289
8000,Eptesicus_dimissus,NA,243.466,73594.6,0.00985775
8000,Arielulus_circumdatus,Lasionycteris_noctivagans,235.316,46186.7,-0.00565175
8000,Vicugna_vicugna,Camelus_ferus,228.628,597567,0.334974
8000,Galagoides_thomasi,Sciurocheirus_gabonensis,235.481,257751,0.00451792
8000,Cheirogaleus_sibreei,Lepilemur_mustelinus,228.416,18987.2,-0.0452545
8000,Tarsius_dentatus,Tarsius_wallacei,213.781,116496,-0.00411714
8000,Aotus_nancymaae,NA,246.589,138955,0.00343609
8000,Leontopithecus_rosalia,Leontopithecus_chrysomelas,246.656,63652.4,0.00932727
8000,Cercocebus_chrysogaster,Cercocebus_agilis,246.524,125634,0.00435804
8000,Dendrogale_melanura,Ptilocercus_lowii,196.416,21587.2,-0.0288907
8000,Protoxerus_stangeri,Heliosciurus_undulatus,230.991,20791,-0.00837937
8000,Sundasciurus_mindanensis,Sundasciurus_philippinensis,243.785,140427,0.00503798
8000,Dryomys_nitedula,NA,241.958,19331.5,0.00205069
8000,Laonastes_aenigmamus,Massoutiera_mzabi,213.18,24031.3,0.00286495
8000,Mesomys_occultus,NA,246.244,131809,-0.0129532
8000,Isothrix_orinoci,NA,246.823,185035,-0.0103651
8000,Phyllomys_mantiqueirensis,Phyllomys_pattoni,242.139,22019.6,0.00318094
8000,Dactylomys_dactylinus,Dactylomys_boliviensis,240.055,6119.26,0.000355116
8000,Proechimys_quadruplicatus,Proechimys_guyannensis,241.443,24845.1,0.010931
8000,Proechimys_quadruplicatus,Proechimys_hoplomyoides,237.941,322032,-0.00902139
8000,Tympanoctomys_loschalchalerosorum,Octodontomys_gliroides,239.738,33389.5,0.00381887
8000,Abrocoma_boliviensis,NA,246.778,132287,-0.00971636
8000,Anomalurus_beecrofti,Pedetes_capensis,208.359,69664.9,-0.000240625
8000,Jaculus_blanfordi,Jaculus_jaculus,243.635,81373.9,-0.0135523
8000,Stylodipus_telum,NA,246.494,8811.11,-0.00560809
8000,Osgoodomys_banderanus,Peromyscus_hooperi,238.773,10961.6,0.000878108
8000,Neotoma_mexicana,Xenomys_nelsoni,236.033,11151.1,0.00991744
8000,Brachytarsomys_albicauda,Eliurus_ellermani,231.804,28198.9,0.00370248
8000,Irenomys_tarsalis,NA,244.239,215507,0.0019254
8000,Sigmodon_leucotis,Delomys_collinus,224.298,179642,-0.345902
8000,Chionomys_gud,NA,245.139,74679,0.00902302
8000,Soricomys_musseri,Chiruromys_vates,232.392,16299.1,0.0052957
8000,Millardia_meltada,Otomys_denti,230.802,17666.6,0.011052
8000,Melasmothrix_naso,Sundamys_muelleri,237.456,34801.3,-0.00651933
8000,Gerbilliscus_validus,Gerbillurus_vallinus,236.521,195914,-0.00600567
8000,Gerbillus_nancillus,Gerbillus_gerbillus,241.406,51456.9,-0.00587189
8000,Calomyscus_hotsoni,Calomyscus_bailwardi,213.141,806.461,-0.010949
8000,Chaetodipus_nelsoni,Chaetodipus_rudinoris,231.762,76975.9,0.0173181
8000,Perognathus_merriami,Perognathus_flavus,241.235,41428.5,0.0120826
8000,Thomomys_bottae,Chaetodipus_nelsoni,224.418,142975,0.000935311
8000,Elephantulus_intufi,Solenodon_paradoxus,151.7,640806,0.644663
8000,Rhyncholestes_raphanurus,Elephantulus_intufi,7.08368,238132,0.244036
8000,Ornithorhynchus_anatinus,NA,56.8088,58077.3,0.00499728
8000,Ornithorhynchus_anatinus,NA,226.833,112972,0.157118
9000,Rhyncholestes_raphanurus,Ornithorhynchus_anatinus,0,1.54111,0.11594
9000,Rhyncholestes_raphanurus,Caenolestes_convelatus,192.158,27064.7,-0.0243803
9000,Glironia_venusta,Caluromysiops_irrupta,191.377,2927.57,0.00352841
9000,Sminthopsis_psammophila,NA,244.246,504892,-0.0010705
9000,Potorous_tridactylus,Potorous_gilbertii,240.414,79154.6,0.00780406
9000,Rhynchocyon_udzungwensis,Rhynchocyon_petersi,207.769,48185.3,0.00693079
9000,Rhynchocyon_udzungwensis,Rhynchocyon_petersi,211.712,111543,-0.0182533
9000,Oryzorictes_hova,NA,229.747,26484.2,0.0216783
9000,Microgale_principula,Microgale_longicaudata,225.216,20224.3,0.00950859
9000,Scaptonyx_fusicaudus,Urotrichus_talpoides,227.208,13144.4,0.00365861
9000,Talpa_levantis,Mogera_insularis,226.823,1305,-0.00680714
9000,Hylomys_megalotis,Erinaceus_roumanicus,209.701,51892.1,-0.0097443
9000,Solisorex_pearsoni,NA,235.869,74069.7,0.000810049
9000,Sylvisorex_johnstoni,Sylvisorex_lunaris,236.461,7488,-0.0171711
9000,Crocidura_levicula,Crocidura_zarudnyi,236.695,8442.42,-0.0547863
9000,Sylvisorex_johnstoni,Suncus_malayanus,229.34,9965.88,0.0106088
9000,Neomys_fodiens,Neomys_teres,239.099,108265,-0.0265092
9000,Rhinopoma_muscatellum,Rhinopoma_microphyllum,230.219,30950.5,0.0149906
9000,Cynopterus_sphinx,Styloctenium_wallacei,225.262,39105.1,-0.00655233
9000,Mimon_bennettii,NA,238.876,85181.6,-0.0115212
9000,Phyllonycteris_poeyi,Erophylla_sezekorni,242.007,81612.9,0.00858289
