"Species3" "Mass"
"591" "Calothorax_lucifer" 3.3
"592" "Calothorax_pulcher" 2.7
"593" "Calypte_anna" 4.24
"594" "Calypte_costae" 3.09
"595" "Campylopterus_curvipennis" 6
"596" "Campylopterus_duidae" 6.05
"597" "Campylopterus_ensipennis" 9.6
"598" "Campylopterus_excellens" 6
"599" "Campylopterus_falcatus" 7.2
"600" "Campylopterus_hemileucurus" 9.72
"601" "Campylopterus_hyperythrus" 6.4
"602" "Campylopterus_largipennis" 8.3
"603" "Campylopterus_phainopeplus" 7.65
"604" "Campylopterus_rufus" 7.1
"605" "Campylopterus_villaviscensio" 7.38
"606" "Chaetocercus_astreans" 2
"607" "Chaetocercus_berlepschi" 2
"608" "Chaetocercus_bombus" 6.5
"609" "Chaetocercus_heliodor" 2
"610" "Chaetocercus_jourdanii" 3.26
"611" "Chaetocercus_mulsant" 3.9
"612" "Chalcostigma_herrani" 5.8
"613" "Chalcostigma_heteropogon" 6.1
"614" "Chalcostigma_olivaceum" 8.2
"615" "Chalcostigma_ruficeps" 3.4
"616" "Chalcostigma_stanleyi" 5.8
"617" "Chalybura_buffonii" 6.79
"618" "Chalybura_urochrysia" 6.38
"619" "Chlorestes_notata" 4.2
"620" "Chlorostilbon_alice" 3.5
"621" "Chlorostilbon_assimilis" 2.61
"622" "Chlorostilbon_auriceps" 2.61
"623" "Chlorostilbon_canivetii" 2.61
"624" "Chlorostilbon_forficatus" 2.61
"625" "Chlorostilbon_gibsoni" 2.61
"626" "Chlorostilbon_lucidus" 3.5
"627" "Chlorostilbon_maugaeus" 3.1
"628" "Chlorostilbon_melanorhynchus" 2.61
"629" "Chlorostilbon_mellisugus" 2.61
"630" "Chlorostilbon_olivaresi" 3.69
"631" "Chlorostilbon_poortmani" 3.3
"632" "Chlorostilbon_ricordii" 3.2
"633" "Chlorostilbon_russatus" 3.4
"634" "Chlorostilbon_stenurus" 3.4
"635" "Chlorostilbon_swainsonii" 4.3
"636" "Chrysolampis_mosquitus" 3.9
"637" "Chrysuronia_oenone" 5.04
"638" "Clytolaema_rubricauda" 7.9
"639" "Coeligena_bonapartei" 6.49
"640" "Coeligena_coeligena" 6.8
"641" "Coeligena_helianthea" 6.64
"642" "Coeligena_iris" 6.9
