"Species" "Mass"
"411" "Rhinolophus_creaghi" "16.92"
"412" "Rhinolophus_coelophyllus" "7.07"
"413" "Rhinolophus_shameli" "8.34"
"414" "Rhinolophus_stheno" "7.92"
"415" "Rhinolophus_affinis" "13.7"
"416" "Rhinolophus_thomasi" "8.26"
"417" "Rhinolophus_sinicus" "10.255"
"418" "Rhinolophus_rouxii" "12.25"
"419" "Rhinolophus_pusillus" "7.617"
"420" "Rhinolophus_lepidus" "5.46"
"421" "Rhinolophus_cognatus" "9.4"
"422" "Rhinolophus_borneensis" "9.5"
"423" "Rhinolophus_philippinensis" "10.91"
"424" "Rhinolophus_megaphyllus" "8.65"
"425" "Rhinolophus_virgo" "6.06"
"426" "Rhinolophus_celebensis" "9.8"
"427" "Rhinolophus_robinsoni" "8.54"
"428" "Rhinolophus_paradoxolophus" "8.17"
"429" "Rhinolophus_marshalli" "5.02"
"430" "Rhinolophus_siamensis" "7.36"
"431" "Rhinolophus_macrotis" "6.18"
"432" "Rhinolophus_rex" "32.62"
"433" "Rhinolophus_acuminatus" "12.1"
"434" "Rhinolophus_malayanus" "6.73"
"435" "Rhinolophus_formosae" "34.07"
"436" "Rhinolophus_trifoliatus" "15.16"
"437" "Rhinolophus_sedulus" "8.74"
"438" "Rhinolophus_luctus" "34.07"
"439" "Rhinolophus_beddomei" "31.925"
"440" "Paratriaenops_furculus" "5.56"
"441" "Paratriaenops_auritus" "5.56"
"442" "Rhinonicteris_aurantia" "8.3"
"443" "Triaenops_afer" "13.18"
"444" "Triaenops_rufus" "11.14"
"445" "Triaenops_persicus" "13.18"
"446" "Cloeotis_percivali" "4.16"
"447" "Asellia_tridens" "10"
"448" "Hipposideros_cyclops" "32.92"
"449" "Anthops_ornatus" "17.94"
"450" "Hipposideros_caffer" "9.46"
"451" "Hipposideros_lamottei" "24.9"
"452" "Hipposideros_ruber" "10.035"
"453" "Hipposideros_fuliginosus" "31.11"
"454" "Hipposideros_abae" "31.87"
"455" "Hipposideros_beatus" "6.7"
"456" "Hipposideros_speoris" "10.39"
"457" "Hipposideros_rotalis" "9.3"
"458" "Hipposideros_khaokhouayensis" "8.7"
"459" "Hipposideros_pomona" "9.248"
"460" "Hipposideros_cineraceus" "3.84"
"461" "Hipposideros_bicolor" "8.39"
"462" "Hipposideros_ridleyi" "9.59"
"463" "Hipposideros_halophyllus" "4"
"464" "Hipposideros_ater" "7.125"
"465" "Hipposideros_fulvus" "8.39"
"466" "Hipposideros_doriae" "4.24"
"467" "Hipposideros_dyacorum" "10.09"
"468" "Hipposideros_cervinus" "8.505"
"469" "Hipposideros_galeritus" "9.335"
"470" "Hipposideros_pygmaeus" "3.53"
"471" "Hipposideros_coxi" "21.82"
"472" "Hipposideros_marisae" "10.09"
"473" "Hipposideros_obscurus" "9.6"
"474" "Hipposideros_jonesi" "5.49"
"475" "Hipposideros_calcaratus" "18.99"
"476" "Hipposideros_turpis" "33.31"
"477" "Hipposideros_scutinares" "40"
"478" "Hipposideros_lylei" "62.19"
"479" "Hipposideros_pratti" "84.38"
"480" "Hipposideros_lekaguli" "31.08"
"481" "Hipposideros_alongensis" "33.31"
"482" "Hipposideros_diadema" "46.9"
"483" "Hipposideros_pelingensis" "116.08"
"484" "Hipposideros_dinops" "116.08"
"485" "Hipposideros_demissus" "46.9"
"486" "Hipposideros_lankadiva" "44.76"
"487" "Hipposideros_larvatus" "19.95"
"488" "Hipposideros_grandis" "19.95"
"490" "Hipposideros_armiger" "49.99"
"491" "Hipposideros_coronatus" "15"
"492" "Aselliscus_stoliczkanus" "6.09"
"493" "Aselliscus_tricuspidatus" "4.08"
"494" "Coelops_robinsoni" "6.5"
"495" "Coelops_frithii" "7.52"
"496" "Megaerops_niphanae" "26.3"
"497" "Megaerops_wetmorei" "18.7"
"498" "Ptenochirus_minor" "47.02"
"499" "Megaerops_ecaudatus" "26.29"
"500" "Megaerops_kusnotoi" "19.89"
"501" "Cynopterus_sphinx" "37.4"
"502" "Cynopterus_brachyotis" "37.4"
"503" "Cynopterus_horsfieldii" "56.955"
"504" "Cynopterus_titthaecheilus" "41.055"
"505" "Ptenochirus_jagori" "79.18"
"506" "Sphaerias_blanfordi" "28.88"
"507" "Aethalops_alecto" "15"
"508" "Aethalops_aequalis" "13.9"
"509" "Balionycteris_maculata" "14.43"
"510" "Penthetor_lucasi" "35.39"
"511" "Chironax_melanocephalus" "17.7"
"512" "Otopteropus_cartilagonodus" "16.92"
"513" "Haplonycteris_fischeri" "18.125"
"514" "Alionycteris_paucidentata" "16.24"
"515" "Latidens_salimalii" "49.99"
"516" "Thoopterus_nigrescens" "66.12"
"517" "Dyacopterus_spadiceus" "85"
"518" "Pteropus_scapulatus" "362"
"519" "Pteropus_poliocephalus" "675"
"520" "Pteropus_voeltzkowi" "542.4"
"521" "Pteropus_livingstonii" "715.385"
"522" "Pteropus_dasymallus" "463.43"
"523" "Pteropus_pumilus" "194.2"
"524" "Pteropus_rodricensis" "303.085"
"525" "Pteropus_vampyrus" "944.685"
"526" "Pteropus_aldabrensis" "401.245"
"527" "Pteropus_seychellensis" "492.2"
"528" "Pteropus_rufus" "776.345"
"529" "Pteropus_lylei" "318.225"
"530" "Pteropus_giganteus" "824.85"
"531" "Pteropus_niger" "465.365"
"532" "Pteropus_ornatus" "336.25"
"533" "Pteropus_tonganus" "510.045"
"534" "Pteropus_admiralitatum" "306.46"
"535" "Pteropus_pohlei" "352.75"
"536" "Pteropus_pelewensis" "350.137"
"537" "Pteropus_mariannus" "458.58"
"538" "Pteropus_speciosus" "234.85"
"539" "Pteropus_conspicillatus" "760.71"
"540" "Pteropus_hypomelanus" "442.805"
"541" "Pteropus_alecto" "641.115"
"542" "Pteropus_neohibernicus" "1017.37"
"543" "Pteropus_capistratus" "247.5"
"544" "Pteropus_tuberculatus" "226.64"
"545" "Pteropus_temminckii" "250"
