"Species" "Body_size_mm"
"641" "Centrolene_audax" "27.5"
"642" "Centrolene_azulae" "27.5"
"643" "Centrolene_bacatum" "26.5"
"644" "Centrolene_buckleyi" "32.8"
"645" "Centrolene_condor" "27.6"
"646" "Centrolene_daidaleum" "25.5"
"647" "Centrolene_durrellorum" "26.1"
"648" "Centrolene_geckoideum" "74.5"
"649" "Centrolene_guanacarum" "22.3"
"650" "Centrolene_huilense" "26.7"
"651" "Centrolene_hybrida" "23.1"
"652" "Centrolene_lynchi" "26"
"653" "Centrolene_notostictum" "24.9"
"654" "Centrolene_peristictum" "20.6"
"655" "Centrolene_petrophilum" "38"
"656" "Centrolene_pipilatum" "23.1"
