Comb_sciname,Year,Family,Npapers,MainBiogRealm,ThreatStatus,BodyMass,Habit,polykm2,elev.avg,humd.avg,bint_counts,range.rarity,W_avgPPP
Furcifer belalandaensis,1970,Chamaeleonidae,1,Afrotropic,CR,37.6,Arb,11.5578819745893,10.6311655044556,157.223449707031,0,0.0898807431498749,19348.695
Furcifer bifidus,1800,Chamaeleonidae,1,Afrotropic,LC,147.8,Arb,45078.4659190085,387.183715820313,54.7382583618164,0,0.497003957228938,19348.695
Furcifer campani,1872,Chamaeleonidae,1,Afrotropic,VU,8.9,Ter,25861.9157249661,1453.95812988281,238.519561767578,9,0.197175852392909,19348.695
Furcifer cephalolepis,1880,Chamaeleonidae,1,Afrotropic,LC,11.4,Arb,1031.54679499872,582.484069824219,510.340881347656,0,0.173625796858153,1359.608
Furcifer labordi,1872,Chamaeleonidae,11,Afrotropic,VU,64.8,Arb,17135.8708579215,76.7612152099609,18.3066711425781,0,0.147904376052949,19348.695
Furcifer lateralis,1831,Chamaeleonidae,11,Afrotropic,LC,55.8,Ter&Arb,466614.869387642,596.998474121094,45.5205345153809,13,1.25055688191817,19348.695
Furcifer major,1971,Chamaeleonidae,2,Afrotropic,LC,35.1,Arb,122904.351510015,481.918121337891,25.783332824707,0,0.304096306093152,19348.695
Furcifer minor,1879,Chamaeleonidae,1,Afrotropic,EN,23.1,Arb,10805.9550915527,1336.90991210938,100.521675109863,0,0.0303187061122265,19348.695
Furcifer monoceras,1913,Chamaeleonidae,1,,,,Arb,,,,,,
Furcifer nicosiai,1999,Chamaeleonidae,1,Afrotropic,EN,62.4,Arb,2019.45924644407,341.514373779297,3.93996548652649,0,0.308537829870265,19348.695
Furcifer oustaleti,1894,Chamaeleonidae,19,Afrotropic,LC,434.3,Arb,591137.851089648,540.336608886719,41.8657989501953,14,2.51025091450316,19348.695
Furcifer pardalis,1829,Chamaeleonidae,36,Afrotropic,LC,268.8,Arb,118343.998871235,553.016540527344,63.5721206665039,13,1.53554849304374,9401.9745
Furcifer petteri,1966,Chamaeleonidae,3,Afrotropic,VU,17.4,Arb,11019.2787626376,172.387832641602,45.5524482727051,1,0.879412810905892,19348.695
Furcifer polleni,1874,Chamaeleonidae,2,Afrotropic,LC,25.6,Arb,411.884632113706,126.64705657959,47.5750885009766,0,0.0232195185013114,91.366
Furcifer rhinoceratus,1845,Chamaeleonidae,3,Afrotropic,VU,60.2,Ter&Arb,22820.8893539017,76.0420379638672,27.1725215911865,0,0.00595385479474388,19348.695
Furcifer timoni,2009,Chamaeleonidae,1,Afrotropic,NT,20.7,Arb,389.307412152547,759.677795410156,13.5726041793823,0,0.297010738818277,19348.695
Furcifer tuzetae,1972,Chamaeleonidae,0,Afrotropic,DD,100.2,Arb,22.9822812099269,75.589111328125,63.9644355773926,0,0.0440981672000587,19348.695
Furcifer verrucosus,1829,Chamaeleonidae,7,Afrotropic,LC,314.3,Arb,232505.509821778,357.636901855469,20.1783924102783,0,0.625768286970576,19348.695
Furcifer viridis,2012,Chamaeleonidae,2,Afrotropic,LC,37.6,Arb,271356.054282616,417.582916259766,19.7095241546631,1,1.66254563665998,19348.695
Furcifer voeltzkowi,1893,Chamaeleonidae,2,,,,Arb,,,,,,
Furcifer willsii,1890,Chamaeleonidae,0,Afrotropic,LC,13.6,Arb,101873.61697452,781.561401367188,46.9038352966309,0,0.668064321616471,19348.695
Furina barnardi,1939,Elapidae,2,Australasi,LC,47.6,Ter,547612.120384924,303.808166503906,1.48188817501068,14,0.677770029995811,523112.755
Furina diadema,1837,Elapidae,2,Australasi,LC,27.8,Ter,1073218.59244468,273.254333496094,12.1792182922363,72,0.425305374603585,523112.755
Furina dunmalli,1955,Elapidae,1,Australasi,DD,106.9,Ter,152175.703390092,330.077301025391,0.981213331222534,1,0.00132344085366918,523112.755
Furina ornata,1842,Elapidae,3,Australasi,LC,106.9,Ter,5057111.02013162,302.744537353516,0.253499716520309,28,1.09478785475834,523112.755
Furina tristis,1858,Elapidae,1,Australasi,LC,252.3,Ter,139429.45698992,77.4542236328125,10.1935300827026,6,0.230556664343067,158463.4585
Gallotia atlantica,1882,Lacertidae,24,Paleartic,LC,28.7,Ter,2660.60155363194,160.157897949219,115.687042236328,0,0.00282268432295475,798147.11
Gallotia auaritae,2001,Lacertidae,2,Paleartic,CR,1859.6,Ter,710.828664973063,836.074462890625,122.328315734863,0,0.00231670208511062,798147.11
Gallotia bravoana,1985,Lacertidae,10,Paleartic,CR,164,Ter,111.720113647267,829.850280761719,18.248706817627,0,0.0162643798904374,798147.11
Gallotia caesaris,1914,Lacertidae,10,Paleartic,LC,31.1,Ter,682.510538102715,514.723449707031,52.0740966796875,0,0.0208163361918024,798147.11
