"Species","rates_mammals_svl","rates_mammals_litter","CHELSA_bio2_1981.2010_V.2.1_median","CHELSA_bio3_1981.2010_V.2.1_median","CHELSA_bio4_1981.2010_V.2.1_median","CHELSA_bio7_1981.2010_V.2.1_median","CHELSA_bio11_1981.2010_V.2.1_median","CHELSA_bio15_1981.2010_V.2.1_median","CHELSA_bio17_1981.2010_V.2.1_median"
"Cavia_aperea",0.0465309414197752,0.0480574096015361,"9","59.0002785363027","205.997982973238","15","19.9999999999933","55.0007654169944","106.508441043691"
"Carterodon_sulcidens",-0.0345601296827909,-0.0102830764357688,"9.0002785671905","63.0004177695958","151.999027130821","14.9998608444031","20.9995817264036","88.0008355540034","23.9997210957846"
"Trinomys_setosus",0.00278143828883603,-0.000906786921966421,"7.99999987199777","59.9986046618088","173.494635044174","13.9993026237236","20.5000700291985","63.9972820652027","83.0010511202158"
"Trinomys_paratus",0.0731891874087981,-0.00441881366604609,"7.99916322081139","58.9963044947807","176.992749379602","13.9987450352175","22.0001394372968","63.4965144156538","98.5144338682567"
"Trinomys_eliasi",-0.07400101519984,0.00651896530399719,"7.99902397661736","51.9980470832675","201.990658153391","13.999162941826","20.9997220122148","57.0004130940228","105.997497766346"
"Trinomys_moojeni",-0.0215710815321308,0.0245851000567779,"8.99986056499945","59.999999472","184.999583278998","14.9998608289994","19.000000264","88.9993033724025","39.9990259388331"
"Trinomys_gratiosus",0.00376903226484859,-0.0287186302882373,"8.49993028820209","55.9997203442179","212.995260291595","14.9999303019034","18.5004181852965","68.001461029506","88.5034217460657"
"Trinomys_iheringi",-0.00444012705855183,-0.043495141575472,"8.9997214054053","59.999999472","187.997912456184","14.0001391595936","19.0002789054109","64.9976277695854","81.0054395660975"
"Trinomys_dimidiatus",-0.0250321592328281,0.010922383704607,"8.00013915900057","53.9999994868073","215.995404125671","14.9998606038067","18.9998611558067","66.0002759892304","99.9930411171961"
"Trinomys_albispinus",0.0086981742332664,0.0063195117833159,"7.4997207274106","63.4978377787311","148.997138994668","11.9993025663495","23.000069717794","36.0016721400634","139.4933180847"
"Euryzygomatomys_spinosus",-0.0088838441727502,-0.0088018477807673,"9","53.9999996444999","269.996170931979","15.999860726699","16.0004178199021","31.5022975144114","268.485111053447"
"Clyomys_laticeps",-0.0010502078315784,-0.00537258044527488,"9.0001391535961","62.0002783323016","168.997356111989","15","21","77.5007661942035","48.9984689106944"
"Phyllomys_mantiqueirensis",-0.00603217953031279,0.0087977472557101,"9","57.9998603438045","215.998607586592","15.9998605729994","17.000139139598","67.0018096030074","97.994294958769"
"Phyllomys_pattoni",-0.0034103032753649,0.0247020187868397,"7.99979071490504","58.9980474256955","174.9972791649","13.998954017633","20.9998611498109","63.4965144156538","97.997222521615"
"Phyllomys_lundi",-0.0372969558404383,0.000528743798492178,"7.99972093220481","53.9985350661224","216.99644616102","14.4996510827045","17.5002091036966","56.5014597990208","151.986566161587"
"Phyllomys_nigrispinus",0.00475819798579534,-0.0869270500197708,"8.99993017219932","56.5002776534042","232.497285121488","15.0000695677999","17.9999997439989","50.0022972161091","160.996803818436"
"Phyllomys_sulinus",-0.0901717166797394,-0.00915142557233339,"9","55.9995816039943","263.994572326978","15.9998606083986","17.0001391355997","36.0016704142027","231.985241754514"
