generation,rank_1,rank_2,swapAccepted
1445000,2,4,0
1446000,1,3,0
1447000,1,2,0
1448000,1,3,0
1449000,1,2,0
1450000,1,3,0
1451000,3,4,0
1452000,1,4,0
1453000,3,4,0
1454000,1,3,0
1455000,2,4,0
1456000,2,4,0
1457000,2,3,0
1458000,3,4,0
1459000,2,3,0
1460000,1,4,0
1461000,1,3,0
1462000,1,4,0
1463000,1,2,0
1464000,1,2,0
1465000,1,2,0
1466000,1,2,0
1467000,1,2,0
1468000,1,3,0
1469000,2,4,0
1470000,3,4,0
1471000,3,4,0
1472000,2,4,0
1473000,1,3,0
1474000,3,4,0
1475000,1,4,0
1476000,2,4,0
1477000,1,3,0
1478000,2,4,0
1479000,3,4,0
1480000,1,2,0
1481000,2,3,0
1482000,3,4,0
1483000,3,4,0
1484000,1,3,0
1485000,1,3,0
1486000,2,3,0
1487000,2,4,0
1488000,2,3,0
1489000,1,3,0
