Species,Bio01_range_past,Bio04_range_past,Bio07_range_past,Bio11_range_past,Bio15_range_past,Bio17_range_past,Bio01_range_present,Bio04_range_present,Bio07_range_present,Bio11_range_present,Bio15_range_present,Bio17_range_present
Micrurus surinamensis,21.14325,214.753,6.05,22.275,88.127,816.275,337.98412777282,2911.94931908901,188.989419972212,348.97925313787,962.935515584278,17131.2975878002
Mussurana bicolor,22.5,502.38925,14.2,25.783,104.5005,686.7,305.99665692665,5410.95473952484,199.996519162566,346.99860225227,1276.95903289411,6927.0608551185
Mussurana montana,1.708,23.114,0.7,1.66675,19.717,91.25,154.98621505452,810.91715371082,107.994157113471,157.98649413,566.955331310749,2986.73585531421
Mussurana quimi,8.71475,289.66775,8,11.24975,86.38925,423.825,188.98050156781,3374.92730749871,163.998468138268,202.98705186081,898.976868258506,6461.72689116876
Neusticurus bicarinatus,4.34175,106.90375,3.2,4.7,70.36025,707.775,190.98063835575,1212.96252711093,124.99832961482,179.98161346772,794.964325642983,12386.6123703685
Neusticurus medemi,0.089500000000001,4.27775000000001,0.25,0.0500000000000007,6.27375,90.175,27.9966572615999,136.01071847352,11.0005571828053,27.9967964930502,129.010723615248,4007.7574629771
Neusticurus racenisi,4.2355,80.35775,2,3.31675,56.3275,414.075,190.98063835575,1131.83923355086,68.9935899732816,174.98133492261,686.934936746579,10923.5736811104
Neusticurus rudis,3.87925,86.83675,2.55,4.4165,44.284,235.35,175.99233882127,1131.83923355086,100.997213309359,166.99150374816,636.968501610066,8190.7445978389
Neusticurus tatei,4.623,88.62,2.125,3.808,60.8245,585.55,181.98175262419,1127.95081851873,61.9963772209937,171.98217052253,704.987327704674,11098.7410561389
Ninia hudsoni,11.76875,72.756,2.275,12.49175,71.7495,805.825,316.95544880285,1199.91590068553,86.9905307377586,332.95489211666,713.982313887653,16995.2992606936
Nothobachia ablephara,2.9415,37.3335,0.225,3.7085,45.8225,71.85,91.9910888371296,847.963802915204,57.989133238229,103.99025391768,737.9828752168,1155.078876266
Notomabuya frenata,21.8375,474.1055,13.775,25.36675,107.10975,424.25,320.97868917034,4610.96587422891,219.991503430214,346.97980334695,1229.93383596884,6475.71588406973
Ophiodes fragilis,10.1355,318.437,8.75,10.99975,83.918,412.15,175.98008261424,3407.96893820682,173.997771502826,178.98746849356,899.934966049734,6415.66559743902
Ophiodes intermedius,20.63725,556.5655,15.3,23.3335,98.981,307.625,282.96892971925,5467.75952400376,216.993593336909,302.9724108329,1149.94066499284,4850.18314473359
Ophiodes luciae,0,0,0,0,0,0,13.00431902121,455.0785519589,12.001810395848,11.00362238974,103.999303622585,733.04378651965
Ophiodes striatus,9.779,383.99375,10.75,13.925,87.602,314.875,154.99485463233,4208.95428187562,167.989148107139,175.99471534891,882.9903851868,5103.60511351052
Ophiodes vertebralis,5.66225,221.2255,6.85,7.54175,35.63925,301.2,90.9938792585999,2752.99702832993,160.000419765177,114.9959680832,412.992597701291,3843.07948854482
Oxybelis aeneus,23.59325,634.19075,17.125,24.64175,126.3505,1307.85,356.9813413738,7209.02987442823,318.997493551863,355.98245696146,1282.93287412717,32748.978829361
Oxybelis fulgidus,19.321,182.261,5.075,20.38375,126.3505,1307.85,345.98273476896,2605.9545994953,169.992203990701,353.98231778002,1234.95250469694,32746.9759002536
Oxyrhopus clathratus,7.748,276.622,7.175,10.34975,88.23925,423.825,177.97952433776,3195.90168395964,159.993737316983,189.98481948052,930.970322098195,6456.71503774644
Oxyrhopus formosus,19.1205,166.619,4.675,20.07525,85.78425,1290.525,342.98398843264,2057.82442207269,169.992203990701,353.98231778002,876.938557137622,32694.9738192212
Oxyrhopus guibei,10.81025,354.9435,10.325,13.825,91.9875,424.25,203.97952520162,3705.96324690776,185.998050549686,218.98719041342,999.990527802496,6465.72647186985
Oxyrhopus leucomelas,17.16875,113.884,3.35,18.70875,87.2795,1283.65,338.98231656599,2105.61080357685,167.9894178219,343.98162099495,947.952497266374,32706.9279731
Oxyrhopus marcapatae,9.4855,42.9855,1.225,9.7585,22.9025,326.325,301.98426640408,1061.96073110328,98.9814815168513,309.98426674129,512.983301996314,7398.930521348
Oxyrhopus melanogenys,19.9895,126.48825,3.55,20.85,81.1545,807.825,337.98412777282,1528.90169385272,167.992761111324,348.97925313787,904.966709676228,17109.2963371549
Oxyrhopus occipitalis,11.8,136.35125,3.975,11.492,83.82925,1290.525,315.96865694161,1457.9116960413,133.994149348901,317.96936139281,876.938557137622,32682.9310394358
Oxyrhopus petolarius,23.5955,495.5705,14.225,24.64175,128.344,1307.85,347.98426734473,4896.95987600267,241.991922940091,355.98245696146,1290.90169118003,32746.9759002536
Oxyrhopus rhombifer,26.956,646.4015,18.15,31.1,135.776,427.375,516.98802458973,8131.55255314834,328.98886047352,574.99094662236,1398.97770812881,6483.72507913583
Oxyrhopus trigeminus,12.50825,261.8795,7.15,12.675,103.5085,717.775,279.97716681701,3190.96225227626,165.998608394522,282.97521678168,1068.94884687131,8974.62391306404
Oxyrhopus vanidicus,8.5085,117.68025,3.3,8.0835,65.58175,752.35,255.98231120545,1215.94887959461,74.9958188263788,255.9816146226,762.991361600995,14339.6333885522
Paleosuchus palpebrosus,20.008,282.68925,7.925,20.81675,104.62425,823.975,347.98426734473,3279.89221325034,175.984823914,355.98245696146,1093.96320351072,17151.3019033665
Paleosuchus trigonatus,15.47275,133.58325,3.85,14.7835,85.78425,897.7,322.96921952578,1422.92435955274,116.994847614298,326.96671150505,847.958196649154,32481.6722139391
Panopa carvalhoi,4.2125,64.60475,1.825,3.3085,40.87125,356.8,139.9906678189,1131.83923355086,68.9930352048537,125.9909463292,686.934936746579,7755.55674549292
Paraphimophis rusticus,25.104,547.63175,14.725,28.02475,108.77975,427.35,484.98816274355,7202.55212152265,307.963923432463,533.99192015617,1398.97770812881,6475.71588406973
Peltocephalus dumerilianus,11.746,126.48825,3.6,10.7085,85.78425,809.375,305.96810734033,1400.97673672045,120.996517670203,312.96629675066,827.984677835323,17028.2954928303
Phalotris bilineatus,22.27075,325.2915,9.4,21.94175,104.5005,404.8,313.97715399241,4457.86946314788,222.988855225539,324.99553805806,1397.97812141136,5775.95895208908
Phalotris concolor,2.42275,48.0635,0.625,2.92475,13.92675,31.475,90.9898333565202,799.9953844766,24.000836284657,93.9969332058904,409.028310729773,1051.10949902954
Phalotris cuyanus,5.221,32.343,0.925000000000001,5.15,30.571,45.15,408.95012990424,3184.81675536382,84.998885691657,414.947764533,667.998198750927,1662.8054494293
Phalotris labiomaculatus,0.549999999999997,43.28475,1.225,0.508500000000002,15.21625,49.2,43.9988853099303,766.97004793246,47.997211576029,38.9990246150101,176.991504808344,486.986467070473
Phalotris lativittatus,3.76475,88.71475,2.1,4.2,39.842,141.925,86.99262322411,1428.95834585225,39.996380539472,92.9931792443199,524.984824256371,3009.77919347494
