inertia,OMI,Tol,Rtol,omi,tol,rtol
Tachyphonus.rufus,2.22397482574844,1.1174426756287,0.396020617243538,0.710511532876195,50.2,17.8,31.9
Tangara.desmaresti,2.53937265366479,0.551074741342837,0.259312335775442,1.72898557654651,21.7,10.2,68.1
Turdus.flavipes,3.40193714247917,0.329597257289892,2.16742970139788,0.904910183791397,9.7,63.7,26.6
Turdus.leucomelas,2.52080741751138,0.119650691013914,1.64009881172949,0.761057914767977,4.7,65.1,30.2
Xanthopsar.flavus,6.36606597967307,5.62256364307339,0.242712281462212,0.500790055137469,88.3,3.8,7.9
Coryphaspiza.melanotis,1.97615404196767,0.214783979556683,1.10637146532624,0.654998597084742,10.9,56,33.1
Amaurospiza.moesta,3.2897404840992,0.638705618907701,1.93768758389136,0.713347281300136,19.4,58.9,21.7
Amazona.amazonica,2.18463773133758,1.1499389716997,0.336946854944433,0.697751904693444,52.6,15.4,31.9
Ara.ararauna,2.34117418762061,1.77400173794682,0.234154466700043,0.333017982973754,75.8,10,14.2
Buteogallus.aequinoctialis,1.88094485695106,0.213323071826357,0.956423594158223,0.711198190966476,11.3,50.8,37.8
Leptodon.forbesi,2.53829854700584,1.99761182039611,0.0725350144900028,0.468151712119727,78.7,2.9,18.4
Lipaugus.ater,1.70686040882416,1.12382094996313,0.176262740035303,0.406776718825731,65.8,10.3,23.8
Myiopsitta.monachus,4.30014547935713,3.10646683632367,0.862387212195008,0.331291430838449,72.2,20.1,7.7
Myrmoderus.ruficauda,1.94960263176138,0.900747402243168,0.236013543774946,0.812841685743262,46.2,12.1,41.7
Paroaria.coronata,5.28818521854702,5.05755442403732,0.0567495812751549,0.173881213234546,95.6,1.1,3.3
Phalcoboenus.chimango,4.12193252816384,2.64864515573953,1.05345199121813,0.419835381206191,64.3,25.6,10.2
Phoenicopterus.chilensis,6.44741129200475,6.19695321463128,0.114733534101847,0.135724543271628,96.1,1.8,2.1
Pipile.jacutinga,2.83650746156754,0.037680340686423,2.13377494984719,0.665052171033921,1.3,75.2,23.4
Psittacara.acuticaudatus,1.78318301023957,0.880142717792417,0.165653047341384,0.737387245105765,49.4,9.3,41.4
Pyrrhura.griseipectus,1.68925110433765,1.5156054184182,0.0595787431541484,0.114066942765309,89.7,3.5,6.8
Scytalopus.speluncae,4.09358343007347,1.52851293011985,1.70881718034326,0.856253319610356,37.3,41.7,20.9
Sporophila.angolensis,2.99186067316033,3.50345329100175e-05,2.3203665237179,0.671459114909525,0,77.6,22.4
Sporophila.hypoxantha,3.25453227459737,0.318231961733241,2.39942349015987,0.536876822704259,9.8,73.7,16.5
