Species,Bio01_past,Bio04_past,Bio07_past,Bio11_past,Bio15_past,Bio17_past,Bio01_present,Bio04_present,Bio07_present,Bio11_present,Bio15_present,Bio17_present
Physalaemus_centralis,25.75825,144.297375,4.9,23.75825,78.064375,42.0625,2973.00146121303,1514.46969987357,148.999304001955,2949.00020790761,739.502714750867,516.994008322555
Physalaemus_cicada,26.2145,148.79,4.475,24.2165,82.039,27.6,2980.00139309933,1491.98259711335,133.999581953684,2958.99386659641,635.016938878136,462.981789505989
Physalaemus_crombiei,24.62725,166.101,4.75,22.45,42.594,180.075,2972.00097581714,1620.41313132504,121.988287809603,2949.00223290948,299.994228361491,2235.08793882689
Physalaemus_cuqui,23.101125,360.407375,10.2125,18.262375,89.169,17.45,2966.99972167126,3791.9492598474,201.498050809485,2911.50020903863,838.48885486584,228.01217994542
Physalaemus_cuvieri,26.203125,122.95975,3.975,25.079125,73.308125,55.8625,2983.99944283369,1095.47836028079,136.000766659767,2970.9990257287,699.995963266704,661.535842688318
Physalaemus_deimaticus,23.07925,179.15475,5.275,20.58325,90.4425,28.25,2945.0011173268,1849.99513624526,146.999582145827,2918.00118703453,885.994427396788,401.990398286274
Physalaemus_ephippifer,26.5145,74.509,2.2,25.754125,55.99675,198.2625,2990.00146187125,750.000284776735,104.494568307647,2983.99944255,576.998680752036,1808.9778572278
Physalaemus_erikae,24.463625,152.031875,4.4,22.466625,42.161125,182.975,2972.00139482103,1604.15888998514,122.488496298764,2949.0027193207,252.752582489271,2280.06057699807
Physalaemus_erythros,22.4105,189.8855,5.475,19.81675,87.4555,40.225,2935.0023678677,2001.97424645293,151.998607069113,2907.00250704425,822.008766836087,487.988868124121
Physalaemus_evangelistai,23.07925,179.15475,5.275,20.58325,90.4425,28.25,2945.0011173268,1849.99513624526,146.999582145827,2918.00118703453,885.994427396788,401.990398286274
Physalaemus_feioi,21.733375,200.6985,5.7625,19.016625,81.808625,53.775,2932.00236899941,2078.98825500047,153.500070036107,2902.00257786968,785.004309167092,557.991240050798
Physalaemus_fernandezae,16.52825,490.715375,13.9625,10.666625,21.45575,170.7375,2880.50132188677,4572.9454350956,217.493517149003,2825.00083688479,214.487039079845,1689.05905420132
Physalaemus_fischeri,26.819,77.74075,2.9,25.8665,69.75925,73.4,3001.00027832452,988.018391135244,114.995262557617,2989.99790998537,693.011981200064,609.958352277908
Physalaemus_gracilis,19.95,383.17725,10.775,15.51675,14.87275,325.875,2913.99874281155,3690.96548213496,186.992051923197,2866.99971965709,163.003891818316,3474.00748269703
Physalaemus_henselii,19.854,434.41425,12.425,14.6835,14.5265,305.275,2911.00111304098,4229.94687153053,207.996797786798,2858.00055526957,159.000415972927,3072.95401372958
Physalaemus_insperatus,19.7665,290.775,7.975,16.12525,28.0955,284.35,2907.00654982182,2782.97648052839,158.996097431555,2872.00627107772,259.033707567752,2977.95551018633
Physalaemus_irroratus,24.092875,162.137375,4.675,21.933375,57.662375,126.7625,2965.50174284163,1654.70095431185,128.493307099696,2941.50250980761,421.724034319723,1606.6295327283
Physalaemus_jordanensis,22.28125,214.48275,5.825,19.2665,69.42225,91.975,2932.00013870846,2155.98316514458,152.000001133608,2902.00013844446,629.020050587491,1205.90100029116
Physalaemus_kroyeri,25.866625,148.8675,4.45,23.875125,70.038,46.0625,2980.00125367454,1495.98767814873,132.497070352095,2957.50111470628,566.490978966088,563.999967049604
Physalaemus_lateristriga,21.306,264.805,7.225,17.94175,41.99475,205.8,2921.00613050343,2656.9605981763,151.998047427088,2888.00585173193,418.010578372031,2573.90487300911
Physalaemus_lisei,18.66875,350.034,9.65,14.5085,16.2975,336.925,2901.9991616681,3260.96742272407,175.998746274567,2858.99944020581,144.018115936755,3678.94215421675
Physalaemus_maculiventris,21.49375,234.011875,6.4,18.391625,58.06375,142.8625,2931.50250777239,2305.97513862343,152.499301446743,2900.50271675326,510.520394137895,1607.71845637218
Physalaemus_marmoratus,25.3415,153.503,5,23.1585,80.3645,38,2969.99651640354,1575.00030299123,148.999026096434,2945.00069649145,771.003342538019,486.98245992744
Physalaemus_maximus,22.6335,192.0725,5.5875,20.046,86.287875,42.075,2938.50229708398,1985.48434594268,149.498955092836,2910.50254076197,821.499637570875,491.009224608508
Physalaemus_moreirae,21.926125,236.200625,6.5125,18.90425,52.632875,181.6875,2942.99909711867,2246.96885184055,112.503335954226,2913.99916705359,429.51166916633,2073.12795580012
Physalaemus_nanus,18.92725,324.38125,8.875,14.975,22.596,323.525,2907.00515825966,3109.96847015937,164.990797712787,2870.00543650657,234.011705285696,3369.94690770207
