inertia,OMI,Tol,Rtol,omi,tol,rtol
Bothrops.matogrossensis,1.82741666865301,0.228212831470284,0.344585203135008,1.25461863404772,12.5,18.9,68.7
Bothrops.moojeni,3.29525659028534,0.177938448768258,1.608326576436,1.50899156508108,5.4,48.8,45.8
Bothrops.muriciensis,6.5727729616071,5.18240810496664,0.390002734098799,1.00036212254165,78.8,5.9,15.2
Bothrops.neuwiedi,3.60900526418068,0.0463132166022852,1.40680374444132,2.15588830313708,1.3,39,59.7
Bothrops.pauloensis,1.78919407728941,0.249240415939606,0.48761708918791,1.05233657216189,13.9,27.3,58.8
Bothrops.pirajai,5.5374871828392,3.75577544132531,0.20738359383617,1.57432814767772,67.8,3.7,28.4
Bothrops.pubescens,6.87083011251984,5.62979391618893,0.265201136851354,0.975835059479555,81.9,3.9,14.2
Brasiliscincus.agilis,4.21688111208979,1.58180981003175,0.492047493901624,2.14302380815642,37.5,11.7,50.8
Brasiliscincus.caissara,2.35703124418178,0.727048548004775,0.450883906417056,1.17909878975995,30.8,19.1,50
Brasiliscincus.heathi,6.11910226190882,3.39637689594105,0.273079056679887,2.44964630928788,55.5,4.5,40
Caaeteboia.amarali,3.38332238538664,0.727527827384587,0.695492281795614,1.96030227620644,21.5,20.6,57.9
Caiman.crocodilus,2.61210999643589,2.61210999643589,0,0,100,0,0
Caiman.latirostris,3.97754013794723,0.00029048543305332,2.02121983234041,1.95602982017377,0,50.8,49.2
Caiman.yacare,1.17316467033841,0.900823048679593,0.0327921042624437,0.239549517396374,76.8,2.8,20.4
Calamodontophis.paucidens,7.20189890633462,7.0733090119399,0.00296686224463107,0.125623032150082,98.2,0,1.7
Calamodontophis.ronaldoi,5.40359133689887,3.99351135681285,0.501488040870931,0.908591939215088,73.9,9.3,16.8
Caparaonia.itaiquara,3.35804935115128,1.61840159436329,0.198252846167015,1.54139491062098,48.2,5.9,45.9
Cercosaura.ocellata,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Cercosaura.quadrilineata,2.6763551951621,0.327104522007855,0.876522761576557,1.47272791157769,12.2,32.8,55
Cercosaura.schreibersii,3.62453694073398,0.433417604797353,1.69219267183692,1.49892666409971,12,46.7,41.4
Chelonoidis.carbonaria,4.55205532774614,1.78280354506518,0.497469331639612,2.27178245104135,39.2,10.9,49.9
Chelonoidis.denticulata,3.63843628884033,1.2813404075559,0.456432944485396,1.90066293679903,35.2,12.5,52.2
Chironius.bicarinatus,3.88930477467452,0.00505570082856963,1.7899865737463,2.09426250009964,0.1,46,53.8
Chironius.carinatus,6.22825661032929,3.41971019841815,0.293727287357273,2.51481912455387,54.9,4.7,40.4
Chironius.exoletus,3.90577092225751,0.0110577075162269,1.91674785087467,1.97796536386661,0.3,49.1,50.6
Chironius.flavolineatus,3.43483635732975,0.351942579814359,1.28974147986841,1.79315229764699,10.2,37.5,52.2
Chironius.foveatus,3.71233833337088,0.690880932264059,0.727970653168086,2.29348674793874,18.6,19.6,61.8
Chironius.fuscus,3.6495305956374,0.760790219451205,0.647865530183356,2.24087484600284,20.8,17.8,61.4
Chironius.laevicollis,3.47382789171106,0.0967575981402576,1.29896555456986,2.07810473900095,2.8,37.4,59.8
Chironius.maculoventris,6.62101487442729,5.62007700678024,0.212561517285511,0.788376350361532,84.9,3.2,11.9
