Species,Bio01_past,Bio04_past,Bio07_past,Bio11_past,Bio15_past,Bio17_past,Bio01_present,Bio04_present,Bio07_present,Bio11_present,Bio15_present,Bio17_present
Dactylomys peruanus,16.804125,138.145125,4.0875,14.962375,66.414375,212.1375,2881.26747452609,1270.49019164798,113.998050814815,2862.51768323573,562.497008072887,2657.86627491072
Dasyprocta azarae,25.13975,242.12525,6.85,21.71675,51.03275,134.025,2961.99999804023,2545.95127340249,155.999164504299,2925.0008338101,437.009874486613,1618.04918784411
Dasyprocta coibae,25.927,84.42375,2.3,25.125,60.25575,146.975,2995.99749308908,536.02269737087,36.0105844442812,2988.99735385303,685.978970361702,941.292309562758
Dasyprocta croconota,26.97925,74.865875,2.25,26.25425,63.5605,153.5125,2996.99999999029,840.01705760149,105.000139558992,2987.50048738657,664.483209369217,1470.02170028212
Dasyprocta fuliginosa,25.79175,65.578875,1.95,24.95425,36.298125,398.8375,2984.9994430414,483.000069027162,89.0000696631279,2977.49916478822,356.012254757834,3780.8373326124
Dasyprocta guamara,27.09575,60.32775,2.025,26.49175,50.0345,164.275,2991.00083591028,599.981053137008,70.9899690039249,2982.00125390342,427.010724475866,2027.93775260523
Dasyprocta iacki,26.45225,108.583,3.175,24.9335,78.839,44.3,2983.00209039826,1092.91148788778,101.991073035902,2968.0030661508,576.025923012622,651.033211077625
Dasyprocta kalinowskii,20.688625,108.869625,3.3375,19.245875,58.605,293.475,2924.76260205838,1089.96791159286,104.49923394529,2908.51343741885,568.502786805798,2213.37398346491
Dasyprocta leporina,26.21225,101.084,3.125,25.19175,68.6005,87.05,2986.00167250738,853.007670269501,118.000417596097,2978.00055726058,662.016583455218,974.980459117502
Dasyprocta mexicana,26.231375,179.95975,4.975,23.89575,68.283,128.5875,2985.99944293758,2068.4438571553,140.987879086051,2954.50125395932,626.978828288117,1255.97676341276
Dasyprocta prymnolopha,27.237375,128.3615,4.15,25.866875,85.714,23.5,2993.00034795024,1134.03482871785,132.49951202773,2980.00111477998,854.002999336892,167.993097590023
Dasyprocta punctata,25.7395,54.120875,1.7125,24.608375,54.760875,179,2983.48969262979,621.984611761123,97.9958211477585,2967.00118382093,525.486281196955,1639.73586014569
Dasyprocta ruatanica,27.82475,94.61675,2.55,26.6335,56.52475,233.325,2995.99986077595,941.988162835365,41.9997214222989,2983.00013933425,605.989553502644,1497.03465941676
