Species,Bio01_past,Bio04_past,Bio07_past,Bio11_past,Bio15_past,Bio17_past,Bio01_present,Bio04_present,Bio07_present,Bio11_present,Bio15_present,Bio17_present
Oxyrhopus rhombifer,25.387375,170.800125,5.25,22.829125,72.436875,49.125,2969.00048748687,1746.55013806671,150.00062652463,2941.00027774479,685.502369504303,557.480815661298
Oxyrhopus trigeminus,26.197,121.889125,3.8375,25.120875,77.104375,41.8375,2984.00195052728,1054.5100539252,135.999373602875,2973.00090608912,755.014549682709,456.479241530229
Oxyrhopus vanidicus,25.88775,65.9975,1.95,25.0585,36.5295,405.75,2985.00069610393,455.000278856041,86.0008358034956,2978.00013924625,352.017405568279,3988.25041574933
Paleosuchus palpebrosus,26.24175,87.93425,2.75,25.28325,66.298,96.225,2986.0002783085,808.985796952693,115.998885136147,2977.00055713599,616.003486048888,1046.10382273208
Paleosuchus trigonatus,26.15,68.27025,2.05,25.33325,48.9735,257.025,2986.99958074983,560.99567801463,94.9993038863502,2979.0002786697,472.992621350333,2557.00191237322
Panopa carvalhoi,25.631,114.893,3.35,24.0085,52.364,269.2,2991.99986043256,678.015473077953,92.0006971271362,2981.00083606614,607.017275790934,2084.92756122848
Paraphimophis rusticus,19.72275,453.38375,13.025,14.375,52.663375,67.825,2914.50313271186,4359.56610505999,216.998189517118,2861.50174379552,478.000199034615,800.035454837177
Peltocephalus dumerilianus,26.146875,67.054625,1.9875,25.370875,48.746125,258.1125,2987.00069635344,560.74798421639,92.0014624808965,2979.99986081314,483.003414718047,2523.57474624919
Phalotris bilineatus,19.06875,495.1265,14.275,12.9585,49.5875,72.975,2910.00111343542,4708.994437879,224.999721177353,2850.00041739533,471.999708109982,770.009080242074
Phalotris concolor,24.48975,156.34525,4.825,22.31675,96.95075,12.275,2958.99846798405,1629.99124597167,145.001392603622,2934.99846772805,922.992605396326,163.009631272988
Phalotris cuyanus,10.39575,613.91525,16.875,2.92525,58.492,25.25,2872.0069629647,5783.0393928452,271.001668198513,2799.00598859428,512.030628247421,455.97048666617
Phalotris labiomaculatus,27.50425,116.99275,3.675,26.09175,76.55925,24.6,2996.99958100509,986.00640925947,126.000975654905,2986.9988848572,766.001675551843,107.005422695603
Phalotris lativittatus,24.8585,206.982,5.875,21.71675,65.133,92.325,2959.0002766981,2182.95683671854,152.0000002326,2925.0008338101,606.02116146587,1041.94180891045
Phalotris lemniscatus,21.0845,382.60425,10.875,16.345875,23.049,263.05,2921.50034967432,3730.44403023314,189.999233910142,2873.9994400632,220.505850671501,2899.0809637344
Phalotris matogrossensis,25.527,198.16275,5.85,22.90025,65.13775,77.525,2968.0008346555,2077.93216310135,153.000140603053,2940.0005557302,600.009746884694,951.940826236127
Phalotris mertensi,24.7385,182.835625,5.35,22.091625,76.271625,56.6125,2959.50194751649,1878.4868303961,151.499652013479,2931.50055535119,747.504599846471,586.473327420994
Phalotris multipunctatus,24.76025,216.88025,5.875,21.23325,65.13775,102.6,2961.00041574374,2270.94375300919,156.998330108763,2924.00264577717,606.02116146587,1179.9393117725
Phalotris nasutus,26.1155,121.564375,3.925,24.99575,79.16775,29.425,2979.99923336853,1055.48531535347,145.999582115954,2965.00090471474,774.99471080961,347.500514037762
Phalotris nigrilatus,25.4875,301.40825,8.625,21.38325,40.42125,166.875,2961.99999804023,2957.96645633197,172.998468612644,2921.00041573278,333.001805335765,2159.98249121535
Phalotris sansebastiani,25.764625,146.709375,4.8,23.545875,70.12025,69.95,2977.00013971886,1697.44964289668,142.999931408273,2950.99944331396,610.0120460437,797.47932269994
Phalotris tricolor,22.48525,395.94625,11.275,16.95,67.359,52.45,2945.00111356341,3916.97410680053,202.997911429241,2891.99999919417,618.008493916075,569.038990579886
Philodryas aestiva,24.4,238.0065,6.7,20.90025,72.65575,54.025,2958.00069530225,2365.95608019895,156.998330108763,2921.00055689358,674.99093812141,644.949457776669
Philodryas agassizii,24.4,238.38325,6.7,21.18325,58.52975,91.975,2955.001671077,2455.95349735055,156.000138505648,2920.00139201929,511.022275336091,1166.95895245931
Philodryas argentea,26.0865,67.36275,2.0375,25.30825,51.930125,230.9375,2986.00118381291,582.015669629301,96.9997217542273,2978.99958226686,504.000699403896,2249.61228303616
Philodryas arnaldoi,19.30825,324.90525,9.05,15.125,19.95325,324.45,2904.00153120818,3109.96847015937,171.997770604583,2864.00222771443,184.010866284151,3598.97920338008
Philodryas baroni,22.478,383.761875,11,16.19575,83.250625,24.8125,2954.49958360998,3945.96026143271,206.498886702586,2901.00000107684,787.983908277995,249.014615439414
Philodryas boliviana,17.4915,187.7125,5.55,14.95825,86.11975,59.825,2902.01142100344,1319.11172071738,160.991508589151,2874.01058476112,852.941098933494,190.265921479192
Philodryas chamissonis,14.2335,452.654625,12.6,9.400125,96.99775,9.4,2841.49393541609,4270.79502075956,225.508708109935,2794.99198480019,884.960720682328,546.969916769428
Philodryas georgeboulengeri,26.29175,58.7455,1.8,25.60825,57.772,147.4,2987.0002786857,506.004877422296,101.000695889646,2979.00111389261,554.988165040294,1549.04357039846
Philodryas laticeps,25.528125,177.955625,5.35,22.9875,73.82475,57.7875,2970.00006975721,1829.97507899237,149.999443127996,2942.99749415799,682.010931216684,703.471586194396
Philodryas livida,25.725,180.81375,5.475,23.2665,71.274,65.525,2972.99804958188,1835.96282950711,150.99986085655,2944.99749235932,677.013644409755,716.98663245897
Philodryas mattogrossensis,25.89775,210.086,6.05,22.9415,69.92275,56.8,2973.998330333,2228.9689778627,153.000695461858,2941.00125277624,647.987868183641,716.98663245897
Philodryas nattereri,26.5085,121.69775,3.825,25.283,81.35475,29.4,2986.00041825272,1054.00671018401,137.999441049329,2975.00055709081,796.00417919103,284.98544490739
Philodryas olfersii,25.947,112.021,3.475,24.8085,66.74775,87.4875,2982.99993049687,984.017008474517,125.490875469068,2971.00257698665,622.002296503824,1001.54318372919
Philodryas patagoniensis,24.882125,191.564125,5.6,22.075,72.174,46.2125,2964.99888536421,1977.47209709278,151.998467964767,2934.00236979624,679.977083540282,530.005283654231
Philodryas psammophidea,23.323,318.908,8.95,18.46675,70.48175,45,2948.99944158617,3137.93580222655,183.994289592201,2899.00724276229,648.015177326402,569.038990579886
Philodryas trilineata,14.3065,559.74325,15.925,6.8835,85.91225,9.375,2901.00320383172,5399.99662995926,252.000834016172,2828.00153362489,886.007094232437,119.004740212896
Philodryas varia,22.4875,210.086,6.2,19.98325,73.376,56.8,2968.00208885802,2217.9510120738,154.998746544532,2918.00571003735,674.978417114781,676.97869831285
Philodryas viridissima,26.2355,74.79175,2.35,25.4,60.5355,164.275,2987.000000096,654.016857211027,105.000696580465,2979.00111389261,584.995820457361,1577.86622847118
Phimophis guerini,25.920875,143.496,4.525,24.383125,74.9255,45.85,2978.00180924166,1423.98989643568,145.000349315349,2957.0016714933,708.007797626835,520.499533850966
Phimophis guianensis,26.177,82.3495,2.6,25.2,53.8895,210.35,2987.9997216063,660.014078196498,99.982168267405,2979.99972153712,535.011005697466,2113.04696507292
Phimophis vittatus,22.376,451.743125,13.05,16.33325,84.561375,21.15,2947.99700709447,4443.96073772335,220.499164545374,2890.00027755448,808.489755380813,214.01468557563
Phrynonax poecilonotus,26.02425,70.285375,2.15,25.16675,56.461625,183.625,2985.99784188378,629.988304734341,101.999512077965,2977.00111476178,555.00668485664,1728.53383815044
Phrynops geoffroanus,25.716875,117.75525,3.8125,24.31675,63.225125,100.25,2979.00160183299,1048.50837952528,134.000139427375,2964.49916012852,574.004294578926,1139.01503422351
Phrynops hilarii,20.907125,434.095875,12.475,15.679125,33.805125,176.4625,2922.50041680916,4204.45190134579,207.997493439174,2870.00341402354,315.487458701136,1890.4614439322
Phrynops tuberosus,26.63225,94.0865,2.825,25.766875,65.770125,146.5625,2990.99993056428,855.963289848167,109.998954848256,2982.00174154028,626.999446218534,1361.55875157417
Phrynops williamsi,20.89975,407.3105,11.775,15.84175,17.79575,324.7,2921.00152984457,4031.4518080854,199.998607092707,2870.00055638764,191.998880621312,3510.99840855031
Phyllodactylus heterurus,14.860375,220.66525,6.25,12.03775,97.979625,0.575,2851.48990071165,1987.09918710305,188.50501548709,2823.48941187486,1182.0220668426,48.5004192389787
Phyllopezus lutzae,25.6,149.68725,4.375,23.85825,55.23125,76.175,2980.00111424975,1499.99275918412,124.993721561444,2958.00083612346,524.010184480504,1012.97452352397
Phyllopezus periosus,27.308375,126.575875,3.775,25.44175,86.480625,30.6375,2986.00285365244,1253.45521150867,134.995049743269,2966.50139050991,687.51635007027,456.496407397668
Phyllopezus pollicaris,25.98975,137.8145,4.45,24.69175,75.6935,43.2,2980.00125436506,1310.94932683846,142.999721610299,2961.00166772137,718.996104536029,498.964211638815
Phymaturus antofagastensis,3.8125,408.14575,11.425,-1.3915,79.469,3.175,2785.00083654355,4333.9212989223,243.996512671141,2728.00083905066,1375.96474142535,39.008776280551
Phymaturus ceii,11.47075,597.7985,16.5,4.53325,53.41975,29.175,2821.00653942508,5543.09197630794,260.005704067154,2752.00500883462,358.984395223974,587.474963876699
Phymaturus denotatus,5.55,403.85825,11.125,0.21675,107.69325,4.25,2794.01268150246,3238.08164266477,200.999163742897,2749.01170696067,1090.9814585979,66.0353828451049
Phymaturus extrilidus,7.23775,552.28975,15.35,0.0665000000000001,79.042,9.3,2810.00808873177,5801.80345805104,267.000001200298,2735.00767096661,540.040516661203,429.007583887438
Phymaturus laurenti,4.68125,406.002,11.275,-0.445875,91.37975,3.7125,2789.506759023,4112.46956214731,227.997908974422,2738.50627300566,1233.47310001162,52.5220795628279
Phymaturus mallimaccii,10.371875,473.2125,13.2875,4.25425,87.765875,6.7625,2878.00564646218,4146.10349989298,209.006685919062,2823.50376486895,970.505136816444,140.487539510213
Phymaturus nevadoi,10.873,626.33175,17.525,3.30825,35.543,64.6,2847.01155862742,5380.13087492873,264.005429358906,2774.01114062287,503.003483063683,509.977300983331
Phymaturus palluma,11.2605,554.0645,15.3625,4.283375,88.333625,26.2875,2796.99365873345,5428.85453828905,252.006198981068,2730.49261242668,733.491059426908,658.982046470529
Phymaturus payuniae,10.952125,625.652125,17.5625,3.553875,41.69675,45.9625,2860.00021489329,6078.92619729386,295.997562746137,2785.50000628915,283.499310604845,498.011159495086
