inertia,OMI,Tol,Rtol,omi,tol,rtol
Tolmomyias.poliocephalus,6.07106379530175,3.92188898545472,0.694055139752227,1.45511967009481,64.6,11.4,24
Chloroceryle.aenea,4.53059504267761,4.53059504267761,0,0,100,0,0
Chloroceryle.amazona,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Trichothraupis.melanops,3.70760389453595,0.0335688977655983,1.23749729692323,2.43653769984711,0.9,33.4,65.7
Turdus.amaurochalinus,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Turdus.fumigatus,4.76529800028855,2.14272294711936,0.876204075761605,1.74637097740758,45,18.4,36.6
Turdus.rufiventris,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Tyrannus.albogularis,2.24420829004615,1.61875358018412,0.175782240501476,0.449672469360551,72.1,7.8,20
Tyrannus.savana,6.79792949652803,5.40517062171697,0.425709313995632,0.967049560815423,79.5,6.3,14.2
Tyrannus.tyrannus,2.32770529976729,1.46680800929779,0.218669504400023,0.642227786069475,63,9.4,27.6
Ramphodon.naevius,4.12289513854839,0.276038745897033,1.57850373060064,2.26835266205072,6.7,38.3,55
Xiphocolaptes.albicollis,3.71849707116378,0.0290702429548174,1.52346278425121,2.16596404395775,0.8,41,58.2
Xolmis.cinereus,3.50216053094147,0.377518174311546,1.54516118357377,1.57948117305615,10.8,44.1,45.1
Xolmis.irupero,5.19846801507298,1.73205013776176,1.85135225017422,1.61506562713699,33.3,35.6,31.1
Xolmis.velatus,2.11433788191347,0.612955177174539,0.485880038701991,1.01550266603694,29,23,48
Thalurania.furcata,2.61976767908181,0.1899599211921,0.937473437573859,1.49233432031585,7.3,35.8,57
Thalurania.glaucopis,3.60317618591463,0.10446510923372,2.07429751040071,1.4244135662802,2.9,57.6,39.5
Streptoprocne.biscutata,3.88925632321951,0.0709182188991184,1.31830904058904,2.50002906373135,1.8,33.9,64.3
Accipiter.superciliosus,3.45824544930047,0.0133019697622247,1.31224583096918,2.13269764856907,0.4,37.9,61.7
Aegolius.harrisii,4.94583528687992,2.22305510128981,1.31803328985135,1.40474689573876,44.9,26.6,28.4
Alipiopsitta.xanthops,2.15353169394769,0.915650673991901,0.399126514202411,0.838754505753374,42.5,18.5,38.9
Crypturellus.strigulosus,8.25644644983758,6.57331773031996,0.486300990963588,1.19682772855403,79.6,5.9,14.5
Crypturellus.tataupa,4,1.67546875278688e-33,1.11845632955057,2.88154367044943,0,28,72
Amazilia.versicolor,3.69914039639843,0.00464955992320211,1.55152863992686,2.14296219654837,0.1,41.9,57.9
Amazilia.fimbriata,3.78151384660057,0.378348404580744,1.35695491080668,2.04621053121315,10,35.9,54.1
Amazilia.leucogaster,6.88303212677155,5.19524615256227,0.433670080111592,1.25411589409769,75.5,6.3,18.2
Amazilia.sapphirina,3.67392134295634,0.446564386717067,1.42487533853136,1.80248161770792,12.2,38.8,49.1
