Species,Bio01_range_past,Bio04_range_past,Bio07_range_past,Bio11_range_past,Bio15_range_past,Bio17_range_past,Bio01_range_present,Bio04_range_present,Bio07_range_present,Bio11_range_present,Bio15_range_present,Bio17_range_present
Stephanoxis loddigesii,7.5855,252.32925,7.325,9.08325,61.8385,364.425,140.99219345911,2789.98118555825,146.998053711688,145.98899792768,652.002088292607,5997.74610195118
Sterna hirundinacea,13.76425,167.43125,4.3,12.942,131.03925,350.4,319.98468038365,3600.5492250314,163.987747030148,310.97757880198,1240.94331748404,4225.01432925298
Sterna trudeaui,9.1205,403.09225,11.475,13.1665,63.95475,290.2,155.9864935306,4334.95127372461,219.994014886253,174.99499139987,701.975461662413,5308.82867364809
Sternula superciliaris,16.36675,492.401,14.2,17.275,102.24275,823.975,332.96935909769,4917.92088612306,221.999164361088,344.96296213446,1118.98982689193,17151.3019033665
Stigmatura bahiae,5.9145,98.78975,2.825,6.98325,75.8575,176.625,145.98898751303,1642.92614565015,134.99874396719,154.98996416741,1067.97533587176,4188.98899433401
Stigmatura budytoides,24.67275,576.063,15.725,28.7995,97.85325,206.45,365.97603879019,5818.89767784137,277.98942276044,406.97492522417,1257.93564284943,4850.18314473359
Stigmatura napensis,5.82925,115.166,3.4,5.65025,75.658,679.825,146.98119784195,1147.95305699846,75.9984665643868,144.98161553972,760.00055737755,8719.63589056131
Streptoprocne biscutata,10.98525,335.073,9.35,14.2415,101.965,424.25,207.97854954167,3986.92594355339,186.997215579725,222.98537986103,1100.96292796328,6465.72521893337
Streptoprocne phelpsi,3.09175,59.13775,1.825,3.23325,51.00575,571.75,187.9770172415,1125.84426097846,68.9935899732816,172.97910664205,743.911131909708,11977.1682794109
Strix chacoensis,17.735,366.93125,10.325,19.54975,54.15275,80.725,297.99721390084,4393.6858128586,152.987464910674,311.99860515859,710.979805003291,1508.04840118073
Strix hylophila,6.8,243.40125,7.125,7.883,76.9575,391.05,164.98105902839,2999.96185228971,166.995964021249,164.98788766769,801.993732643015,6198.72368106472
Sublegatus arenarum,10.6295,128.91325,3.85,10.40025,66.7185,369.075,316.96670689326,1410.93230662899,130.99749257091,314.96809996782,974.961134725256,11033.7016522021
Sublegatus modestus,19.08325,621.62325,17.425,25.40825,97.00725,401.3,338.95656310225,6210.97366652578,280.995406913242,369.99303305598,1050.98439157038,7514.1146144685
Sublegatus obscurior,11.746,126.48825,3.6,11.32525,85.78425,809.375,331.95558822007,1399.87575437487,121.998329585207,342.9511312047,847.958196649154,17042.2861612686
Suiriri suiriri,19.2875,612.22775,17.125,23.46675,104.21575,424.25,329.96895144218,5951.97757302223,269.998607349963,356.96962591772,1119.96333789148,6353.87314033499
Sula dactylatra,0.0210000000000008,1.23,0.0249999999999999,0.100249999999999,1.19425,1.47499999999999,25.9930339428001,112.998187356872,32.991083498765,27.9927553045104,38.995123859894,1182.76370736199
Synallaxis albescens,23.031,648.167,18.225,26.9335,106.634,1277.525,369.97645804899,6346.88372604606,282.991645372997,412.9750649792,1251.91447200475,32746.9687976327
Synallaxis albigularis,14.0415,84.07825,2.425,14.32475,58.3125,744.475,326.95475222419,1297.89222233267,87.9908083512168,338.95322058305,688.977160116648,16931.1786256145
Synallaxis albilora,2.57275,200.0955,4.9,3.808,33.60025,82.975,59.9935914395001,2553.94930784222,60.992200175739,71.9958203983001,524.987615878067,1937.96688150459
Synallaxis cherriei,15.256,85.866,3.025,15.525,71.8705,628.65,293.97312181012,1490.90057730366,82.0012519945183,298.97131151065,717.976884482637,15815.0016519852
Synallaxis cinerascens,7.50825,326.7785,9.15,9.87475,83.41425,407.625,169.97841137808,3514.96602867921,183.995824943615,171.98454368135,840.983421253525,6303.72171714951
Synallaxis cinerea,2.1835,37.754,0.675,2.69975,46.513,168.625,108.99205148564,800.94338563711,83.9991696670961,110.99232887652,783.965282316941,4167.9684939556
Synallaxis frontalis,19.2875,594.67675,16.775,23.46675,104.87575,384.95,318.96851224274,6249.91291292243,278.996936380987,356.96962591772,1119.96333789148,4852.7357552265
Synallaxis gujanensis,18.425,182.88725,5.2,18.90825,84.60275,697.9,337.98412777282,2684.84139351332,178.992203475039,348.97925313787,891.925634782484,15987.9448164465
Synallaxis hellmayri,4.877,71.83475,2.3,5.75,73.22075,99.05,131.98648356083,1207.07049518426,65.9986143559521,137.98899274238,988.983280989335,2838.77188122499
Synallaxis hypospodia,12.50825,242.227,6.775,13.2,100.029,467.25,287.95738601154,3066.94613322688,162.988025490858,294.95655026084,1068.94884687131,6674.29615753916
Synallaxis infuscata,1.96275,59.98,1.6,2.375,41.3745,98.325,66.9987431036902,1153.95118208493,112.997349171593,69.9992999094302,561.928890518751,1657.79170541033
Synallaxis kollari,1.152,35.72525,0.775,0.9085,9.51824999999999,33.575,70.9922001559498,944.896235919153,46.9952642494635,57.9942894772298,273.011962371642,2300.1290013264
Synallaxis macconnelli,4.3355,80.36425,2.475,4.6165,66.9015,572.325,172.98871770702,1125.84426097846,112.995960053465,159.99094634181,706.002366340462,12149.6080387376
Synallaxis ruficapilla,7.5855,279.8555,7.725,9.3415,83.8715,412.15,169.97841137808,3126.95334173889,167.996936876148,173.98607601763,863.989975258609,6365.72521454048
Synallaxis rutilans,18.83725,126.48825,3.65,19.30025,81.7655,807.825,337.98412777282,1716.85516665355,167.99290033476,344.98134251622,847.958196649154,17036.117810246
Synallaxis scutata,23.031,441.14375,12.5,26.9335,84.53025,238.85,331.97757451213,5438.81120529157,246.994981692956,356.97868876492,1138.92310530023,4736.84799331738
Synallaxis simoni,1.425,23.59075,0.425,1.1665,9.69475,12.5,47.9947036501899,765.9632041893,31.999303229159,41.9960969982499,152.006961342423,234.040643729525
Synallaxis spixi,7.5645,384.37625,10.925,11.60825,81.5095,407.525,171.97910748777,4014.9428017173,195.999583148061,176.98621502653,842.963205756547,6372.70570344425
Syndactyla dimidiata,7.03525,227.84075,6.525,8.342,63.84675,189.1,186.98621513112,2778.91627853402,97.9934646551989,205.986494154,784.969770164958,4066.55561930901
Syndactyla roraimae,3.521,55.49925,1.65,3.23325,54.32275,515.3,187.9770172415,1125.84426097846,68.9935899732816,172.97910664205,685.966857919583,11879.4959264398
Syndactyla rufosuperciliata,18.77275,482.3005,13.75,22.875,108.77975,465.2,317.98371022868,5721.94818836205,225.994154724436,348.9916407291,1248.93424589704,8984.61332526392
Syndactyla ucayalae,11.58575,63.2215,1.9,12.4165,30.23125,374.575,323.98593877342,1163.94988639741,67.992899729516,334.98426789786,693.937609434719,8371.58050974009
Syrigma sibilatrix,20.6375,531.7555,15.175,24.31725,104.5005,420.175,321.97492728287,5444.90650242249,232.998049220705,351.97632040177,1228.96557325507,7213.39452171052
Systellura longirostris,25.20825,669.887,18.675,30.14175,135.184,1279.2,510.98760636175,8245.4714942963,329.984542892282,573.989274752,1424.93508483691,32754.9798040247
Systellura roraimae,4.3585,68.57375,1.925,3.65825,66.9015,579.65,187.9770172415,1125.84426097846,68.9966563659487,172.97910664205,706.002366340462,12149.6080387376
Tachornis squamata,19.56875,188.152,5.225,20.36675,104.62425,823.975,347.98426734473,2437.90448688992,175.984823914,352.98357206018,1093.96320351072,17151.3019033665
Tachuris rubrigastra,18.42475,631.2475,17.7,23.63325,126.602,591.4,483.94539265957,7941.78760309018,285.972139103416,561.94191190338,1362.97852877693,21011.9359973928
Tachycineta albiventer,16.41425,412.887,12.125,19.56675,104.62425,823.975,341.95572779198,4404.84001559225,202.999721069955,349.95433502829,1095.96780134357,17151.3019033665
Tachycineta leucorrhoa,21.602,567.49975,16.05,24.992,108.77975,422.625,328.98412778645,5692.90168477376,227.990677540995,356.99233679656,1248.93424589704,7524.10402666838
Tachycineta meyeni,24.56225,556.5655,15.3,26.53325,135.776,357.675,480.98844206624,8050.37548078792,290.978411211728,521.99275577767,1421.9548587292,5652.84540395439
Tachyphonus coronatus,9.44575,272.232,7.2,11.3415,85.86975,415.4,175.98077962669,3255.9691054154,169.99805154415,178.98746860995,863.989975258609,6375.73481964265
