Species,Bio01_range_past,Bio04_range_past,Bio07_range_past,Bio11_range_past,Bio15_range_past,Bio17_range_past,Bio01_range_present,Bio04_range_present,Bio07_range_present,Bio11_range_present,Bio15_range_present,Bio17_range_present
Rulyrana_tangarana,0,0,0,0,0,0,116.99749002261,329.973119657713,31.00013833315,119.99679378715,277.961842718363,2986.01404260094
Rupirana_cardosoi,1.83575,20.8485,0.0750000000000002,2.0495,26.20075,54.35,108.99205148564,507.99633078178,28.000421236913,110.99232887652,546.004724603731,1136.97183632423
Sachatamia_albomaculata,3.33975,25.59375,0.825,3.4,55.26675,852.5,271.98496305579,856.918269260416,85.991505894007,281.98329203578,847.893034013477,21720.4886769947
Sachatamia_ilex,3.33975,35.15475,1.05,3.4,58.34575,1183.25,271.98496305579,856.918269260416,89.9959620902582,281.98329203578,847.893034013477,32300.5993142338
Sachatamia_orejuela,4.2585,16.2845,0.575,4.2335,23.85075,898.275,258.98343074444,856.918269260416,90.9942891547061,268.98217767057,481.952236630497,32067.5653057766
Sachatamia_punctulata,2.89175,7.56625,0.325,2.95,20.237,410.6,284.97966477549,798.951398747376,71.9933140667951,277.98161480018,385.98467918486,7567.47362342299
Scarthyla_goinorum,4.504,64.88225,2.4,5.44175,62.601,660.325,254.94987364247,1112.92301179182,82.9972136409168,268.94848188692,620.964206312256,7605.73948292149
Scarthyla_vigilans,10.429,97.81725,3,10.40025,46.29275,370.5,289.98133474974,1267.86463232572,128.997213960613,284.98147401318,588.984119157266,8420.14161288083
Scinax_acuminatus,8.51875,386.15875,10.525,12.683,62.43375,241.625,92.9984685714203,4030.00027699756,111.993175587693,137.99818994631,650.9896950584,3579.02304979484
Scinax_agilis,1.804,28.658,0.8,1.98325,29.50525,101.875,104.98104661318,1137.841035001,103.996237208364,113.98132443029,636.950237666898,3191.81375162978
Scinax_albicans,3.54125,12.2645,0.375,3.925,20.04825,56.375,156.98565841334,993.96311207905,117.996242936153,162.98677302311,475.955738848235,1921.75357925486
Scinax_alcatraz,0,0,0,0,0,0,6.01057540206011,339.02194501017,21.0090415514919,9.00987939120978,99.039932611611,1835.88914050943
Scinax_alter,8.26875,266.5165,7.225,10.625,71.217,329.7,179.98161453707,3296.96878398514,162.998746486192,188.98677332253,781.981467041886,5429.8386785307
Scinax_angrensis,0.785250000000001,3.78424999999999,0.100000000000001,0.86675,15.0375,66.85,154.98621505452,696.95660018901,107.993739092918,157.98649413,487.98818091259,2727.70924555133
Scinax_arduous,0,0,0,0,0,0,69.98676148903,523.95549344566,76.9920703342234,71.9874589798801,392.944265148253,1448.79451425406
Scinax_argyreornatus,6.9955,190.42575,4.95,9.20825,64.28375,288.5,168.97980398111,2633.93409206523,145.996516010967,179.9870513894,722.990092101761,4901.57900114511
Scinax_ariadne,0.341750000000001,3.72524999999999,0.100000000000001,0.41675,15.0375,66.85,154.98621505452,630.9797352753,107.993739092918,157.98649413,487.98818091259,2590.760354222
Scinax_aromothyella,0.773,7.73174999999998,0.299999999999999,0.700000000000003,2.661,58.4,46.0009755245601,777.00473083346,32.000556807867,38.0018106062698,52.005706592064,2637.99794408583
Scinax_atratus,0.341750000000001,3.72524999999999,0.100000000000001,0.41675,15.0375,66.85,154.98621505452,630.9797352753,107.993739092918,157.98649413,487.98818091259,2590.760354222
Scinax_auratus,4.93125,77.19675,2.175,5.74175,72.75775,219.85,88.9884286327001,1218.98564874156,121.997909218318,101.98717427317,971.937402786931,4084.77916356443
Scinax_baumgardneri,0,0,0,0,0,0,169.98063819473,693.018636326157,43.9967954618429,163.98049913232,165.02757605376,8755.09273422904
Scinax_belloni,0.206000000000003,5.548,0.149999999999999,0.22475,7.96899999999999,16.45,158.97924779577,748.96036372634,86.9916526491183,161.97966698773,374.999307225006,1357.89486315369
Scinax_berthae,7.38525,287.19225,8.675,9.55,49.14625,335.45,124.9927496527,2952.00450860923,169.998193148364,123.98760782497,540.003044523635,5636.69051489681
Scinax_blairi,9.071,80.2295,2.25,8.15,40.28425,285.125,218.98621013578,1170.85166837326,52.9927565324393,212.98551369973,441.984540397447,6535.40653503845
Scinax_boesemani,5.0625,115.166,3.4,4.63325,74.53325,702.425,190.98063835575,1151.93771019801,121.998050964533,180.98147415569,794.964325642983,12349.6087469298
Scinax_boulengeri,0.695999999999998,4.55675,0.125,0.77525,4.12225,47.95,96.9860713683597,525.975209717774,70.996378893723,97.9857928060701,251.016576333799,4373.69582472977
Scinax_brieni,1.752,53.66725,1.4,1.583,31.88325,140.6,154.98621505452,1498.86234375651,114.991509597708,157.98649413,552.004175359239,3501.61760229492
Scinax_cabralensis,0.777000000000001,8.40924999999999,0.100000000000001,0.849999999999998,0.578000000000003,1.825,78.9973503126503,444.99817026125,21.998747390935,82.9976281703503,90.006425716631,183.049910802097
Scinax_caissara,0.497999999999998,15.0925,0.375,0.400000000000002,3.93375,70.325,59.9962395472403,568.9555932971,79.0005551934053,60.99554413859,190.014898289395,1766.97102850899
Scinax_caldarum,2.573,48.09125,0.9,3.0335,23.32325,71.925,163.98760868897,691.97574305503,59.994713226664,167.98733035526,457.970793051037,2196.73937381132
Scinax_camposseabrai,2.53125,26.01325,0.149999999999999,2.9415,34.404,59.025,115.98996230912,601.96834802501,47.003207784448,121.9894037869,699.999188701529,1308.35812028377
Scinax_canastrensis,1.2625,22.58425,0.3,1.55825,4.00500000000001,11.4,70.9948444833703,693.93717846683,22.997771201018,71.9952622559199,93.002915404878,477.964063131547
Scinax_cardosoi,3.54125,25.6535,0.775,3.925,22.69675,59.175,158.97924779577,1048.95698635322,117.996242936153,163.98774857565,554.934980644246,2006.73729181192
