"";"x"
"Gyrinophilus_porphyriticus";8,15080855821891
"Pseudotriton_montanus";2,4786445251109
"Pseudotriton_ruber";0,328733340835352
"Stereochilus_marginatus";-3,30016039160418
"Batrachoseps_gregarius";-6,8930773321893
"Batrachoseps_nigriventris";4,84261357910808
"Batrachoseps_stebbinsi";0,257384250082165
"Batrachoseps_simatus";1,04839228994911
"Batrachoseps_diabolicus";0,665214972717944
"Batrachoseps_gabrieli";1,85427243643156
"Batrachoseps_gavilanensis";-2,87284515263956
"Batrachoseps_incognitus";-3,39561739891044
"Batrachoseps_minor";-6,42206552625189
"Batrachoseps_major";3,5564372093374
"Batrachoseps_pacificus";8,3377252101638
"Batrachoseps_luciae";-3,09974659965835
"Batrachoseps_attenuatus";1,58389399798743
"Batrachoseps_campi";0,647998980516927
"Batrachoseps_wrighti";-0,632506312975933
"Bolitoglossa_carri";2,74665176695287
"Bolitoglossa_oresbia";-3,10185174055663
"Bolitoglossa_rostrata";-0,853495421354119
"Bolitoglossa_pacaya";-1,11648168929569
"Bolitoglossa_colonnea";-2,04141210889412
"Bolitoglossa_nigrescens";2,89143228725609
"Bolitoglossa_robinsoni";-0,853495421353974
"Bolitoglossa_bramei";-9,39469055103062
"Bolitoglossa_pesrubra";9,30299040610207
"Bolitoglossa_orestes";-1,6841396942225
"Bolitoglossa_diminuta";-1,09870406279116
"Bolitoglossa_compacta";-5,16893278057114
"Bolitoglossa_robusta";9,19770356746931
"Bolitoglossa_schizodactyla";-3,55337114190536
"Bolitoglossa_daryorum";-1,13025882109255
"Bolitoglossa_kaqchikelorum";-0,993403901481451
"Bolitoglossa_eremia";-0,917033252455763
"Bolitoglossa_suchitanensis";2,36265429884242
"Bolitoglossa_morio";0,706712264105371
"Bolitoglossa_flavimembris";0,00903031436808783
"Bolitoglossa_centenorum";1,00016814947862
"Bolitoglossa_huehuetenanguensis";-0,740291310012284
"Bolitoglossa_ninadormida";-0,401105772123837
"Bolitoglossa_nussbaumi";0,796541692806812
"Bolitoglossa_nympha";-0,91529142228074
"Bolitoglossa_rufescens";0,572305096629218
"Bolitoglossa_minutula";-4,61062997702626
"Bolitoglossa_sooyorum";4,6836553281824
"Bolitoglossa_copia";1,72119531373809
