"","Species","CHELSA_bio2_1981.2010_V.2.1_median","CHELSA_bio3_1981.2010_V.2.1_median","CHELSA_bio4_1981.2010_V.2.1_median","CHELSA_bio7_1981.2010_V.2.1_median","CHELSA_bio11_1981.2010_V.2.1_median","CHELSA_bio15_1981.2010_V.2.1_median","CHELSA_bio17_1981.2010_V.2.1_median"
"662","Microtus mexicanus","13.0001391870006","52.9997214038113","464.019639097106","26.000696411607","11.0005570566064","81.9965181749668","34.0018100202134"
"663","Microtus oaxacensis","8.99972143860246","58.9980502447849","175.012672836213","15.0001391842077","16.0016711356283","78.0027852822724","119.997771353648"
"664","Microtus quasiater","9.49951251330713","60.4969357363194","212.520752631639","15.9997910785143","12.5020193171264","72.4995818729983","76.5132307957782"
"665","Microtus umbrosus","8.99965184449858","60.4980501224831","166.509193377204","15.4997909976103","19.5002784193975","88.9982587827966","65.0096101314563"
"666","Mindomys hammondi","6.99986077239585","82.9993035729972","32.0033435047702","8.99972154479169","10.0025066636675","40.9966571139508","307.577986796245"
"667","Monodelphis adusta","7.00013922760304","76.0002785566058","59.0009750396402","9.99972147399888","23.9989557389881","38.0004879142987","290.485238917952"
"668","Monodelphis americana","9","62.9997214408073","158.000002404731","14.0004179747857","21.0001388921866","79.000556693195","49.0030695820691"
"669","Monodelphis brevicaudata","7.00027858859552","73.999651705905","64.0013925791838","9.99993036879455","25","53.9991644911135","243.502644996517"
"670","Monodelphis dimidiata","9","46.0005567846081","382.996100519619","18.9999999806058","13.9999999612083","35.0008342866193","158.990394709957"
"671","Monodelphis domestica","9","64","133.000419966042","14.0002785888907","23","78.0004178166985","30.4993733795996"
"672","Monodelphis emiliae","7","74.9998606723992","45.9995824909983","9.00013936359412","25","48.9999998558412","217.010304074238"
"673","Monodelphis glirina","7.99986080040364","68.0006964087802","66.0019508723799","10.9999999805897","25","61.9995822356025","107.997911543367"
"674","Monodelphis handleyi","6.00013929560359","77.0004178222077","42.999999896603","8","25","21.9994432439977","554.007656878337"
"675","Monodelphis iheringi","8.99972141740361","58.0004174650017","199.997494306418","14.9998608289994","18.0009752147863","64.9976277695854","96.001403926034"
"676","Monodelphis kunsi","9","61.9999997685975","163.994709543187","15","21.0002785146058","67.0005571000023","69.9977727525928"
