"Species","rates_bird_svl","rates_bird_litter","CHELSA_bio2_1981.2010_V.2.1_median","CHELSA_bio3_1981.2010_V.2.1_median","CHELSA_bio4_1981.2010_V.2.1_median","CHELSA_bio7_1981.2010_V.2.1_median","CHELSA_bio11_1981.2010_V.2.1_median","CHELSA_bio15_1981.2010_V.2.1_median","CHELSA_bio17_1981.2010_V.2.1_median"
"Formicivora_grisea",-0.000727463129459166,-0.0320148175293286,"8","68.0005568725958","81.9997217271871","11.999581861231","25","66.9995825195919","82.0069627017517"
"Formicivora_iheringi",-0.0167856008883062,0.0146780541036254,"8.99999986029484","65.0000693549076","151.999163985111","13.0000696035003","20.0003484700917","62.0017364322942","50.5138057363589"
"Formicivora_rufa",0.00212911889918609,0.0146780541036285,"9","63.9998608364031","121.002373141829","13.9998608323969","23.0001389630006","69.0009751908064","67.0006962245929"
"Formicivora_serrana",0.00584234277716983,0.000361556567860342,"8.99979098720153","59.9999997457035","183.499234683497","14.9997214171082","19.9998609650011","81.9998598434296","49.000908539532"
"Mackenziaena_severa",7.67659552310214e-05,-0.00115703093900589,"8.99999998060528","56.0001385955975","228.996519357784","15.0001393955992","18.0002783100011","42.0006956985677","173.994849684804"
"Mackenziaena_leachii",0.0214288734295855,0.000721048239467917,"8.99986087639471","50.0009749588148","294.994708110367","16","16.999999756","25.0018094670074","289.015878301709"
"Batara_cinerea",0.0505532143750899,-0.000930810005407306,"9","50.0005566166081","296.998044267803","16.9991638059967","15.999860632393","31.0018798416048","279.979539869723"
"Hypoedaleus_guttatus",-0.00620842755890656,-0.00120544824891738,"8.99999998059581","55.9993020928383","229.996938292787","15.0000000194014","18.0002785460011","42.0011135496035","182.007391436117"
"Rhopornis_ardesiacus",0.00237166768200127,-0.000114514329413766,"7.99999972459024","64.9997205357696","149.999581697818","12.9998605335897","20.0004180461822","57.9938661545402","76.0205050980642"
"Pyriglena_leucoptera",-0.00648337617048808,-0.00145466781647235,"8.99999987229791","56.000974434207","222.996587460794","15","18.9999997657018","43.9998600510048","162.488721358584"
"Pyriglena_atra",0.00730953279712698,-0.000130032484145681,"5.4997900514986","57.9976277110586","131.99671730577","9.49965060420404","23.5000698555003","47.000140644005","173.987320772276"
"Pyriglena_leuconota",0.00853111138335797,-1.32865212721981e-05,"8","68.0004176690017","88.9972117538689","11.9998607689994","23.9998607803953","67.0011142971872","80.9967964121931"
"Cercomacra_brasiliana",0.00368848059345695,0.00254288562411582,"8.00013915559415","59.9967927963226","179.992053176968","13.9998605569994","20.000278847186","69.0011124560046","76.0205050980642"
"Drymophila_rubricollis",-0.0136004473933205,0.00426596946115788,"8.99999998060528","53.9999994868073","283.002228939071","16","17.0001389070006","27.0029246146202","282.995551223675"
"Drymophila_ferruginea",-0.0111142398008914,-0.0009893886404461,"8.00000001940698","57.9998603438045","197.997914029011","14.9997212122031","19.0002788585947","57.0004130940228","120.989974596371"
"Drymophila_genei",-0.00922458079895546,0.000384138655052471,"8.00006958920294","56.0001388695967","206.496518340834","14.9990939664152","19.4998611247007","66.5010427961189","96.9978494424015"
"Drymophila_ochropyga",-0.011518677192473,-0.00214530801656926,"8.99972112540919","57.9958161932388","212.999444490804","14.9984665234257","18.9998610975991","56.9953979153422","117.99401474717"
"Drymophila_squamata",-0.01031668713513,0.000384138654791628,"7.99930262201813","56.0001391435958","179.002361350463","12.9998605529994","20.0002788940011","56.0015336718379","121.012535299716"
"Drymophila_malura",-0.00240593479122022,0.000384138654833968,"9","51.000278557397","286.994152634151","15.9998608449994","17.000139139598","27.9998601449995","269.017692088384"
"Myrmotherula_urosticta",-0.0163911767662033,0.000384138654840008,"6.99916329399668","55.9993020928383","149.999581697818","11.9987452204053","22.0001394470006","42.0006956985677","171.99290837964"
"Biatas_nigropectus",0.0213199960001881,0.000384138654879858,"7.9998603520985","51.0002087181988","247.996028635187","14.9999303019034","17.000278826598","38.0006960612003","253.99130626738"
"Myrmorchilus_strigilatus",0.00670566599384831,-0.000130032484148042,"9.00000000970684","61.9999303769941","161.998677762258","14.9996515122035","22.000000019397","73.4993711704975","31.4986769030056"
"Dysithamnus_xanthopterus",0.000315848202692872,-0.00108357523484238,"7.99979061060437","51.9995108675925","230.497562585695","14.9997907763011","17.0003483863993","44.5004839401189","183.982316606419"
"Herpsilochmus_pectoralis",-0.00403341466976972,0.000726668508607679,"7.99999976741146","68.9991641184786","115.000826893741","11.9998607689994","24.0001394590006","65.0026475410915","55.9990325687582"
"Herpsilochmus_longirostris",0.00545345850426667,-0.000589550428803162,"9","63.0004178833018","115.995822229972","14.0003482227008","23.0001391910006","73.9993034042944","49.9991641246894"
"Herpsilochmus_sellowi",-0.0254005745389865,-0.0001248322113689,"9.00006961320712","67.9995119723184","118.497144613996","13.4997907603767","24.0004177595852","86.5002091133867","13.0034177401482"
"Herpsilochmus_atricapillus",-0.00966779185184379,-0.00178439074611403,"9","63.0001393716003","145.98898665028","14.9997214128151","22.0004180530017","79.0001397641899","33.0012531699094"
"Herpsilochmus_rufimarginatus",-0.00554112504078634,-0.000409054556875554,"9","54.0005570612072","257.998608100819","15.9997214374008","17.9999997673992","37.001392848804","198.990812784761"
"Herpsilochmus_pileatus",-0.0155218139058035,-0.00077422760584272,"6.99916329399668","59.9960951273943","148.992607717798","10.9993023300517","22.0002789020011","26.0000009278683","244.996936429151"
"Dysithamnus_plumbeus",0.00900601461810758,-0.000774227605825313,"7.99986055299943","59.9960951273943","168.998884649178","12.9998605529994","21.0006966847702","57.9963736867205","101.018410200667"
"Dysithamnus_stictothorax",0.000315848202235039,-0.00025935466088603,"8.00013939100056","55.0006962202067","215.998191049404","14.9998603403992","18.0002783534064","42.0011135496035","171.99290837964"
"Sakesphorus_cristatus",0.00183943391630079,-0.000885404389328404,"9","66.9980469310993","122.999721194184","13.0002090367948","24.0001393487074","87.9987438416375","16.9992346297936"
"Thamnophilus_palliatus",0.00986713498295591,-0.00844870834474434,"8","67.0004176898981","88.9998610746449","11.9998608183964","24.0001392030006","65.0018812728437","88.9998592891154"
"Thamnophilus_ruficapillus",-0.0034968146583664,0.0028300564440329,"9","48.0006961876075","332.995826013734","17.9997212053953","14.9998606049994","33.0048701102149","191.002368709872"
"Thamnophilus_torquatus",0.00373008393527228,0.00283005644400859,"9","64.0002783820011","119.999164166197","14","23.0001393790006","77.9993038089972","34.0013918780056"
"Thamnophilus_ambiguus",0.0106259709699573,-0.00245771821073143,"7.99902397661736","56.000278306597","162.006538122639","12.9993028026474","22.000139427593","52.000000174713","105.997497766346"
"Thamnophilus_pelzelni",-0.00928420088269968,-0.00245771821083548,"9","64.0004179290017","119.000909449794","14.0001391893001","23.0005570931883","82.0012537367782","26.0000000902987"
"Thamnophilus_caerulescens",-0.00414584457871963,0.0132418313567551,"9","56.0007656891059","232.995476084294","15.4995126691856","18.0002788291952","60.0017388726525","88.5001452223465"
"Thamnophilus_aethiops",0.0158724458245078,-0.00526442451096152,"7.00013937929595","72.000139020402","60.0016720257919","10.000000152","24.9998607727001","56.0025080517197","171.007443909779"
"Onychorhynchus_swainsoni",-4.32123085317194e-05,-0.0162483665404022,"7.99930262201813","55.9955382897097","212.991076092386","13.999162941826","19.9998610935947","47.0013897377223","152.994712754383"
"Myiobius_atricaudus",-0.0239215772155847,0.00374405378921695,"7.99986069699944","70.9995821237922","78.0002782888901","10.9998608024092","25","63.0004876805017","105.005926958628"
"Myiobius_barbatus",0.0233272471392197,0.00386434350076349,"7.00013923559524","72.0001391103986","61.4995814795859","9.99999998060638","24.9999999805902","52.0011160056569","197.998748760832"
"Oxyruncus_cristatus",0.0114977524286928,0.0143696299163498,"8","67.9973538965859","94.9963086963112","11.9988843919956","22.0002789020011","55.0002079229129","182.018529330846"
"Piprites_chloris",-0.00105644501038696,0.00145636812240765,"7.00027858489424","71.9997212134095","62.9970755489471","10.0001392435933","24.9998606946974","52.0004876059204","197.493174654996"
"Piprites_pileata",-0.00233506579896547,0.000620708895690267,"8.99986061039807","51.9985351430271","284.998190786611","15.9998608449994","16.0000693351993","25.5025761359159","310.987541900724"
"Tachuris_rubrigastra",-0.0115505757046939,0.00087876579754338,"9.99944267983753","42.0001390103694","429.505154967387","21","10.0000000193847","40.0005557396938","60.9988876313306"
"Corythopis_delalandi",0.00217146570604759,-0.000610715346328633,"9","61.0001393024014","180.495122222679","15","21.0000000193972","71.0013230280033","59.9986076080055"
"Phylloscartes_paulista",-0.00587469494394013,-0.000610715346407648,"8.99986063239528","53.9999994868073","265.995546312199","15.9998605729994","17.9999997205986","35.002436373607","227.996104316434"
"Phylloscartes_ventralis",-0.00267669414385981,-0.00220702751177173,"9","53.0008351078125","277.997773461585","15.9998608523986","15.999999752","36.0016704142027","212.000144664488"
